Date,Location,Raw,Speakers,Description,Hosts,Issue date
APRIL 28,Glasgow,"Glasgow Drawing - room Meeting Miss Macnaught , Miss Helen Waddell .","['Miss Macnaught', 'Miss Helen Waddell']",,,"APRIL 28, 1910"
APRIL 28,"London ( Hackney , N . )","London ( Hackney , N . ) - Public Meeting - Library Hall , Church Street , Stoke Newington - Miss Palliser , Rev. Dr. Cobb .","['Miss Palliser', 'Rev. Dr. Cobb']","Public Meeting - Library Hall, Church Street, Stoke Newington",,"APRIL 28, 1910"
APRIL 28,London ( Wandsworth ),"London ( Wandsworth ) -Drawing - room Meeting - Miss Clara Election Meeting Sandbach - Miss Robertson , Swanwick","['Miss Robertson', 'Swanwick']",,,"APRIL 28, 1910"
APRIL 28,Crewe,"Crewe Election Meeting - Mixed Schools , West Street - Miss Philipps , Miss Gill , Mr. Crawford .","['Miss Philipps', 'Miss Gill', 'Mr. Crawford']","Election Meeting - Mixed Schools, West Street",,"APRIL 28, 1910"
APRIL 28,North Herts - Berkhamstead,"North Herts - Berkhamstead - Mrs . Robinson - Address on "" The History of the Suffrage Movement . """,['Mrs. Robinson'],,,"APRIL 28, 1910"
APRIL 28,Leeds,"Leeds - Dr . Helen Wilson- "" Social Evil . """,['Dr. Helen Wilson'],,,"APRIL 28, 1910"
APRIL 28,Coventry,Coventry - Market Place - Mrs . Mayer .,['Mrs. Mayer'],Market Place,,"APRIL 28, 1910"
APRIL 28,London ( Stoke Newington ),"London ( Stoke Newington ) -Library Hall , Church Street - Miss Palliser .",['Miss Palliser'],"Library Hall, Church Street",,"APRIL 28, 1910"
APRIL 28,Birmingham,Birmingham Bull Ring .,,Bull Ring,,"APRIL 28, 1910"
APRIL 28,London,"London Mordan , Mrs. John Roskill .","['Mordan', 'Mrs. John Roskill']",,,"APRIL 28, 1910"
APRIL 28,North of England - Altrincham,"North of England - Altrincham , St. Peter's Schools , Hale - Miss K. D. Courtney .",['Miss K. D. Courtney'],"St. Peter's Schools, Hale",,"APRIL 28, 1910"
APRIL 28,Crewe,Crewe,,,,"APRIL 28, 1910"
APRIL 28,London ( Wandsworth and Putney ),"London ( Wandsworth and Putney ) -319 , Upper Richmond Road- Mrs. Cole's Drawing - room Meeting - Miss Clara Mordan .",['Miss Clara Mordan'],"319, Upper Richmond Road- Mrs. Cole's Drawing-room Meeting",,"APRIL 28, 1910"
APRIL 28,Sunderland,"Hall , Sunderland - Alexandria Hall - Professor Mills .",['Professor Mills'],Alexandria Hall,,"APRIL 28, 1910"
APRIL 29,London ( Walworth ),London ( Walworth ) -Meeting - Miss M. I. Corbett .,['Miss M. I. Corbett'],,,"APRIL 28, 1910"
APRIL 29,London ( Ealing and Acton ),"London ( Ealing and Acton ) Public Meeting - Drill W. Ealing Miss Ruth Young , Mr. Theodore Gugenheim - Songs , Miss Hilda Bennett - Chair , Mr. Kennedy .","['Miss Ruth Young', 'Mr. Theodore Gugenheim', 'Miss Hilda Bennett']",Public Meeting - Drill W. Ealing. Songs,,"APRIL 28, 1910"
APRIL 29,Letchworth,Letchworth Pixmore Institute - Mr . Baillie - Weaver .,['Mr. Baillie-Weaver'],Pixmore Institute,,"APRIL 28, 1910"
APRIL 29,Dublin,"Dublin - 35 , Molesworth Street - Miss McNaull .",['Miss McNaull'],,,"APRIL 28, 1910"
APRIL 29,Edinburgh,"Edinburgh 40 , Shandwick Place .",,"40, Shandwick Place",,"APRIL 28, 1910"
APRIL 30,London ( Walworth ),"London ( Walworth ) -Miss Margery Corbett , B.A.",['Miss Margery Corbett'],,,"APRIL 28, 1910"
APRIL 30,Norwich,Norwich - Gladstone Club - Address and Debate - Dr . Mary Bell .,['Dr. Mary Bell'],Gladstone Club - Address and Debate,,"APRIL 28, 1910"
MAY 2,"London ( Hackney , N. , Stoke Newington , N . )","London ( Hackney , N. , Stoke Newington , N . ) - Young Women's Guild - 59 , Springdale Road , Stoke Newington- Miss H. D. Cockle .",['Miss H. D. Cockle'],"Young Women's Guild - 59, Springdale Road, Stoke Newington",,"APRIL 28, 1910"
MAY 2,Birmingham,Birmingham - Miss Helen Fraser .,['Miss Helen Fraser'],,,"APRIL 28, 1910"
MAY 2,London ( Stoke Newington ),"London ( Stoke Newington ) -59 , Springdale Road - Miss Cockle .",['Miss Cockle'],"59, Springdale Road",,"APRIL 28, 1910"
MAY 2,Aspley Guise,Aspley Guise - Public Meeting - Rev . Hugh Chapman .,['Rev. Hugh Chapman'],Public Meeting,,"APRIL 28, 1910"
MAY 2,Sutton Coldfield,Sutton Coldfield - Drawing - room Meeting - Miss Fraser .,['Miss Fraser'],,,"APRIL 28, 1910"
