Date,Location,Raw,Speakers,Description,Issue date
JULY 28,London (Hampstead Heath),"London ( Hampstead Heath ) -Open - air Meeting , near Flagstaff- Mrs. Stanbury , Miss A. Dawson .","['Mrs. Stanbury', 'Miss A. Dawson.']",,"JULY 28 , 1910"
JULY 28,"Nairn, N.B.","Nairn , N.B. - Public Hall - Miss Helen Fraser , Mrs. Hunter .","['Miss Helen Fraser', 'Mrs. Hunter']",,"JULY 28 , 1910"
JULY 28,Liverpool,"Liverpool Annual Meeting - 27 , Leece Street .",,Annual Meeting,"JULY 28 , 1910"
JULY 28,Gateshead,Gateshead - Bewick Hall - Formation of Society .,,Formation of Society,"JULY 28 , 1910"
JULY 28,London - Central Finsbury,London - Central Finsbury - Open - air Meeting .,,,"JULY 28 , 1910"
JULY 29,Elgin,Elgin Y.W.C.A. - Miss Helen Fraser .,['Miss Helen Fraser'],,"JULY 28 , 1910"
JULY 29,Newcastle-on-Tyne - Hunstanworth,Newcastle - on - Tyne - Hunstanworth - Workers ' Meeting .,,Workers' Meeting,"JULY 28 , 1910"
JULY 29,Warwick and Leamington,"Warwick and Leamington - Summer Outing to Kenilworth Castle , meet Castle Gates .",,"Summer Outing to Kenilworth Castle, meet Castle Gates.","JULY 28 , 1910"
JULY 29,"Huddersfield - Blackrock, Linthwaite","Huddersfield - Blackrock , Linthwaite - Miss Fielden .",['Miss Fielden'],,"JULY 28 , 1910"
AUGUST 20,London - Windsor,London - Windsor - At Home - Miss M. Hodge .,['Miss M. Hodge.'],,"JULY 28 , 1910"
AUGUST 29,8.0,8.0,,,"JULY 28 , 1910"
AUGUST 29,8.0,8.0,,,"JULY 28 , 1910"
AUGUST 29,5.0,5.0,,,"JULY 28 , 1910"
AUGUST 29,4.15,4.15,,,"JULY 28 , 1910"
AUGUST 29,8.30,8.30,,,"JULY 28 , 1910"
AUGUST 29,3.30,3.30,,,"JULY 28 , 1910"
AUGUST 29,7.30,7.30,,,"JULY 28 , 1910"
AUGUST 29,3.30,3.30,,,"JULY 28 , 1910"
