Date,Location,Raw,Speakers,Hosts,Description,Issue date
JUNE 20,WESTMINSTER PALACE HOTEL,"WESTMINSTER PALACE HOTEL - London Society's Reception - Chair , The Lady Frances Balfour Speakers , Miss C. MARSHALL ( Hon . Parl . Sec . N.U.W.S.S. ) , MISS CLEMENTINA BLACK , MISS EMILY HILL ( P.C.G. ) , MR . R. CHOLMELEY , M.A. Discussion . Tea , 6d . Delegates returned from Buda - Pesth , and others .","['Miss C. Marshall', 'Miss Clementina Black', 'Miss Emily Hill', 'Mr. R. Cholmeley', 'Delegates returned from Buda-Pesth', 'others””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””””], ']",,,"JUNE 20 , 1913"
JUNE 20,WALWORTH,"WALWORTH - Liverpool Street and Walworth Road Open - air Meeting - Speakers , Miss W. A. Elkin , Miss A. Dawson , Mr. A. Mackinlay","['Miss W.A. Elkin', 'Miss A. Dawson', 'Mr. A. Mackinlay']",,,"JUNE 20 , 1913"
JUNE 23,HARROW,"HARROW - Drawing - room Meeting at South Hill Avenue - Hostess , Mrs. Petit Speaker , Mrs. A. Savory",['Mrs. A. Savory'],['Mrs. Petit'],,"JUNE 20 , 1913"
JUNE 24,HAMMERSMITH,"HAMMERSMITH - Open - air Meeting in The Grove Speaker , Miss Hewitt",['Miss Hewitt'],,,"JUNE 20 , 1913"
JUNE 24,W. SOUTHWARK,"W. SOUTHWARK - Open - air Meeting Lancaster Street , Newington Causeway - Speakers , Mrs. Watson , Miss A. E. Gloyn","['Mrs. Watson', 'Miss A.E. Gloyn']",,,"JUNE 20 , 1913"
JUNE 25,EAST ST. PANCRAS,"EAST ST . PANCRAS Meeting at Y.M.C.A. , 17 , Camden Road - Tea - Speaker , Miss Sayle",['Miss Sayle'],,,"JUNE 20 , 1913"
JUNE 25,FULHAM,"FULHAM - Entertainment and Meeting at Beaufort House School , Lillie Road ( close to North End Road ) -Chair , R. Cholmeley , Esq.- Speaker , Mrs. Savory - Duologue , "" A Chat with Mrs. Chicky "" -Pianist , Miss Kitty Perry .","['Mrs. Savory”', 'R. Cholmeley”], ', 'Description” : ', ""Duologue, 'A Chat with Mrs. Chicky', Pianist, Miss Kitty Perry"", 'Description']",,,"JUNE 20 , 1913"
JUNE 25,BRIXTON,"BRIXTON - S . London Trade Union Hall , 30 , Brixton Road , S.W. - Speaker , Miss Anna Martin , B.A. , "" The Mother and the Law "" -Chair , Mr. John Osborn","['Miss Anna Martin”', 'Mr. John Osborn”], ', 'Description']",,,"JUNE 20 , 1913"
JUNE 26,ISLINGTON,"ISLINGTON - Open - air Meeting at Almeida Street , Upper Street - Chair , Miss McGrigor- Speaker , Miss Ruth Young","['Miss Ruth Young', 'Miss McGrigor']",,,"JUNE 20 , 1913"
JUNE 26,N. PADDINGTON,"N. PADDINGTON - Drawing - room Meeting at 35 , St. Mary's Terrace , Paddington - Hostess , Miss Prosser - Chair , Mrs. Bertram - Speaker , Mrs. Rawlings","['Mrs. Rawlings', 'Mrs. Bertram']",['Miss Prosser'],,"JUNE 20 , 1913"
JUNE 27,WESTMINSTER PALACE HOTEL,"WESTMINSTER PALACE HOTEL - London Society's Reception - Chair , Miss Edith Palliser -Speakers , N.U.W.S.S. Delegates returned from Buda Pesth , and others - Speech on "" The Women's Suffrage Pilgrimage","['Miss Edith Palliser', 'N.U.W.S.S. delegates returned from Buda Pesth', 'others”', ""Speech on 'The Women's Suffrage Pilgrimage'""]",,,"JUNE 20 , 1913"
JUNE 27,NORTH WEST HAM,"NORTH WEST HAM - Garden Meeting at the N.W. HAM Progressive Club - Chair , Alderman J. Hurry , J.P. - Speaker , Mrs. Stanbury ( Mem- ber of the Ex . Com . N.U.W.S.S. ) , R. F. Cholmeley , Esq .","['Mrs. Stanbury', 'R.F. Cholmeley', 'Alderman J. Hurry']",,,"JUNE 20 , 1913"
JUNE 30,W. SOUTHWARK,"W. SOUTHWARK - St . George's Circus - Open- air Meeting - Speakers , Miss Dawson , Mrs. Stan- bury ( Ex . Com . N.U.W.S.S. ) , Mrs. Watson","['Miss Dawson', 'Mrs. Stanbury', 'Mrs. Watson']",,,"JUNE 20 , 1913"
JUNE 30,WHEATLEY,WHEATLEY - Open - air Meeting,,,,"JUNE 20 , 1913"
JUNE 25,NORWICH,"NORWICH AND DISTRICT - Open - air Whist- drive , Rosebank",,,Whist-drive,"JUNE 20 , 1913"
JUNE 25,HASLEMERE,HASLEMERE AND HINDHEAD - Meetings for Can- vassers at Shottermill,,,,"JUNE 20 , 1913"
JUNE 25,KENDAL,"KENDAL Open - air Meeting - Speaker , Miss Matters",,,,"JUNE 20 , 1913"
JUNE 25,WALLASEY,"WALLASEY AND WIRRAL Mrs. Leadley Brown's Drawing - room Meeting at Heswall- Speakers , The Rev. C. Leadly Brown , Miss Hale",,,,"JUNE 20 , 1913"
JUNE 25,MANCHESTER,"MANCHESTER - Chair , Lady Norman Hill Open - air Meeting , Victoria Road - Speakers , Miss Chew , and Miss Hoffman",,,,"JUNE 20 , 1913"
JUNE 25,BRISTOL,"BRISTOL Meeting at the Y.M.C.A. , Totter- down - Speaker , Miss Tanner",,,,"JUNE 20 , 1913"
JUNE 25,SPENNYMOOR,"SPENNYMOOR - Speaker , Miss Gordon",,,,"JUNE 20 , 1913"
JUNE 26,HASLEMERE,"HASLEMERE Meeting at Grayswood - Speaker , Miss Hay Cooper",,,,"JUNE 20 , 1913"
JUNE 26,ARNSIDE,ARNSIDE - Meeting Miss Matters,,,,"JUNE 20 , 1913"
JUNE 26,HASLEMERE,HASLEMERE - mere Town Hall,,,,"JUNE 20 , 1913"
JUNE 26,STIRLING,"STIRLING Drawing - room Meeting - Speaker , Dr. Elsie Inglis",,,,"JUNE 20 , 1913"
JUNE 26,EAST HERTS,"EAST HERTS - Afternoon Meeting at Standon- Speaker , Mrs. Rackham",,,,"JUNE 20 , 1913"
JUNE 26,EAST HERTS,"EAST HERTS - Open - air Evening Meeting at Standon- Speaker , Mrs. Rackham",,,,"JUNE 20 , 1913"
