Date,Location,Raw,Speakers,Issue date
August 8,Battersea,"Friday , August 8 . Battersea , Mossbury Road . Mrs. E. Duval , Mr. Ball , M.F.W.S.","['Mrs. E. Duval', 'Mr. Ball', 'M.F.W.S.']","August 8 , 1913"
August 8,Bethnal Green Road,"Bethnal Green Road . Salmon and Potter , Dr. A. D. Macpherson","['Salmon', 'Potter', 'Dr. A. D. Macpherson']","August 8 , 1913"
August 8,Whitechapel,"Whitechapel , Commercial Road , H. Bostock , Mr. F. H. Greenfield","['H. Bostock', 'Mr. F. H. Greenfield']","August 8 , 1913"
August 9,Battersea,"Saturday , August 9 . Battersea , Strath Terrace ...",[],"August 8 , 1913"
August 10,Battersea Park,"Sunday , August 10 . Battersea Park . Mr. W. Pool , Mrs. Winson .","['Mr. W. Pool', 'Mrs. Winson']","August 8 , 1913"
August 10,Hyde Park,"Hyde Park , W. Mr. Ball . M.F.W.S.","['Mr. Ball', 'M.F.W.S.']","August 8 , 1913"
August 10,Regent's Park,Regent's Park . M.P.U. Miss Rickards,"['M.P.U.', 'Miss Rickards']","August 8 , 1913"
August 11,Kingsway Hall,"Monday , August 11 . Kingsway Hall , Kingsway , W.C. Brackenbury , Miss Mary Mansel","['Brackenbury', 'Miss Mary Mansel']","August 8 , 1913"
August 11,Bethnal Green Road,"Bethnal Green Road , Salmon and Bostock , Mr. F. H. Greenfield ,","['Salmon', 'Bostock', 'Mr. F. H. Greenfield']","August 8 , 1913"
August 8,Dundee,"Friday , August 8 . Dundee , Panmure Street . Miss Grant",['Miss Grant'],"August 8 , 1913"
August 9,Dundee,"Dundee , Greenmarket .",[],"August 8 , 1913"
August 9,Lochee,"Lochee , Methven Street . Miss Grant",['Miss Grant'],"August 8 , 1913"
August 10,Llanelly,"Sunday , August 10 . Llanelly , I.L.P. Mise Annie Williams",['Mise Annie Williams'],"August 8 , 1913"
August 14,Penygraig,"Penygraig , I.L.P. Branch . Miss Annie Williams ...",['Miss Annie Williams'],"August 8 , 1913"
August 15,Dundee,"Friday , August 15 . Dundee , Panmure Street . Miss Grant",['Miss Grant'],"August 8 , 1913"
