Date,Location,Raw,Speakers,Description,Issue date
MARCH 20,"Clapham - 22, North Side, Clapham Common","Clapham - 22, North Side, Clapham Common- Hostess, Mrs. Kettle, Miss Rosamond Smith, ""The Child and the State"" -Chair, Mrs. Ernest Hutton","['Miss Rosamond Smith, ""The Child and the State""']",,"MARCH 20 , 1914"
MARCH 20,"Islington - Barnsbury Hall, Upper Street","Islington - Barnsbury Hall, Upper Street- Suffrage Club - Meeting 8.30",,Suffrage Club - Meeting,"MARCH 20 , 1914"
MARCH 20,"South Woodford- ""Tresweeta,"" Churchfields","South Woodford- ""Tresweeta,"" Churchfields -Hostess, Mrs. Chapman - Speaker, Miss Helen Ward - Chair, Mrs. E. W. George",['Miss Helen Ward'],,"MARCH 20 , 1914"
MARCH 20,Westminster Palace Hotel - Victoria Street,"Westminster Palace Hotel - Victoria Street- London Society's Reception - Speakers, Miss Horniman, Mr. Robert Cholmeley, and the Rev. B. S. Berlyn - Chair, Miss C. M. Eve","['Miss Horniman', 'Mr. Robert Cholmeley', 'the Rev. B. S. Berlyn']",,"MARCH 20 , 1914"
MARCH 22,"Fulham - L.C.C. Schools, Fulham Palace Road","Fulham - L.C.C. Schools, Fulham Palace Road Meeting of Ethical Society - Miss I. O. Ford on ""The Responsibilities of Women""","['Miss I. O. Ford on ""The Responsibilities of Women""']",,"MARCH 20 , 1914"
MARCH 23,Ealing and Acton - Victoria Hall,"Ealing and Acton - Victoria Hall - Speakers, The Lady Frances Balfour, Mrs. Oliver Strachey, and others - Chair, the Rev. W. Templeton King, B.D.","['The Lady Frances Balfour', 'Mrs. Oliver Strachey', 'others']",,"MARCH 20 , 1914"
MARCH 23,"Forest Gate - Barclay Hall, Green Street","Forest Gate - Barclay Hall, Green Street- Meetings of Women's Adult School - Speaker, Mrs. Lister",['Mrs. Lister'],,"MARCH 20 , 1914"
MARCH 23,"South Paddington - 36, Gloucester Square","South Paddington - 36, Gloucester Square- Annual meeting of branch - Hostess, Mrs. Franklin Thomasson - Speaker, Miss W. I. Ingram (Hon. Sec. of Committee to admit Women to Solicitors' Profession) -Chair, Mrs. L. B. Franklin","[""Miss W. I. Ingram (Hon. Sec. of Committee to admit Women to Solicitors' Profession)""]",,"MARCH 20 , 1914"
MARCH 23,"Streatham St. Leonard's Hall, Tooting Bec Garden","Streatham St. Leonard's Hall, Tooting Bec Garden - At Home - Speaker, Mrs. Ford Smith- Chair, Dr. Clara Fitten",['Mrs. Ford Smith'],,"MARCH 20 , 1914"
MARCH 25,Barnet - Women's Co-operative Guild,"Barnet - Women's Co-operative Guild - Speaker, Mrs. Baker",['Mrs. Baker'],,"MARCH 20 , 1914"
MARCH 25,Caxton Hall,Caxton Hall - Annual Meeting of Women's Local Government Society,,Annual Meeting of Women's Local Government Society,"MARCH 20 , 1914"
MARCH 25,"Hampton Hampton Lodge, Nightingale Road","Hampton Hampton Lodge, Nightingale Road- Hostess, Mrs. Davies - Speaker, Miss Rinder",['Miss Rinder'],,"MARCH 20 , 1914"
MARCH 25,"Highgate - 4, Broadlands Road","Highgate - 4, Broadlands Road - Hostess, Miss C. Sharpe - Speaker, Mrs. Oliver Strachey- Chair, Mrs. Ronald Garrett",['Mrs. Oliver Strachey'],,"MARCH 20 , 1914"
MARCH 25,"West St. Pancras - 11, St. Mark's Square","West St. Pancras - 11, St. Mark's Square- Meeting for F.W.S. - Hostess, Mrs. Powell- Speaker, Miss Agnes Dawson",['Miss Agnes Dawson'],,"MARCH 20 , 1914"
MARCH 26,"East St. Pancras - 187, Camden Road","East St. Pancras - 187, Camden Road - Hostess, Mrs. Davies - Speaker, Mrs. Ronald Garrett",['Mrs. Ronald Garrett'],,"MARCH 20 , 1914"
MARCH 26,"Highgate - 3, Holly Terrace","Highgate - 3, Holly Terrace - Speakers' Class -Leader, Miss C. Black, on ""Is it desirable to the Community that Women work for Money or Not ?"" - Highgate members cordially invited",,Speakers' Class,"MARCH 20 , 1914"
MARCH 26,"Kingston and Surbiton- ""Caverleigh,"" Surbiton","Kingston and Surbiton- ""Caverleigh,"" Surbiton - At Home for members and ""Friends"" -Hostess, Mrs. Horner - Tea and Suffrage talk",,"At Home for members and ""Friends"" - Tea and Suffrage talk","MARCH 20 , 1914"
MARCH 26,"Marylebone - Swale Hall, Portman Rooms, Dorset Street","Marylebone - Swale Hall, Portman Rooms, Dorset Street - Speakers, Miss Violet Martin, Miss Hay-Cooper - Chair, Mr. Samuel Garrett","['Miss Violet Martin', 'Miss Hay-Cooper']",,"MARCH 20 , 1914"
MARCH 26,"North Hackney - Library Hall, Stoke Newington","North Hackney - Library Hall, Stoke Newing- ton - Meeting for F.W.S., Suffrage songs and Speech",,"Meeting for F.W.S., Suffrage songs and Speech","MARCH 20 , 1914"
MARCH 26,"Wimbledon - 9, Ridgway Gardens","Wimbledon - 9, Ridgway Gardens - Study Circle -Leader, Miss Pares",,Study Circle,"MARCH 20 , 1914"
MARCH 27,"Cricklewood - Christ Church Parish Hall, Edison road","Cricklewood - Christ Church Parish Hall, Edison road - Speakers, Mrs. Oliver Strachey, Dr. Florence Willey","['Mrs. Oliver Strachey', 'Dr. Florence Willey']",,"MARCH 20 , 1914"
MARCH 27,"Islington Barnsbury Hall, Upper Street","Islington Barnsbury Hall, Upper Street- Suffrage Club Meeting",,Suffrage Club Meeting,"MARCH 20 , 1914"
MARCH 27,"Westminster Palace Hotel, Victoria Street","Westminster Palace Hotel, Victoria Street- Speakers, Miss Emily Hill, P.L.G., Miss Pit- cairn Knowles, Mrs. Rackham, P.L.G., Mr. John Raphael - Chair, Mrs. Oliver Strachey - Discus- sion - Tea","['Miss Emily Hill, P.L.G.', 'Miss Pitcairn Knowles', 'Mrs. Rackham, P.L.G.', 'Mr. John Raphael']",,"MARCH 20 , 1914"
MARCH 20,"Guildford - Suffrage Office, 1a, Mount Street","Guildford - Suffrage Office, 1a, Mount Street- Miss Ogilvy (Member of Godalming Town Council) on ""The Need for Women on Local Government Bodies""","['Miss Ogilvy (Member of Godalming Town Council) on ""The Need for Women on Local Government Bodies""']",,"MARCH 20 , 1914"
MARCH 20,Knebworth - Mission Room,"Knebworth - Mission Room - Hitchin, Stevenage, and District Council Meeting - Speech and Presentation of Banner by the Rt. Hon. the Earl of Lytton",,"Hitchin, Stevenage, and District Council Meeting - Speech and Presentation of Banner by the Rt. Hon. the Earl of Lytton","MARCH 20 , 1914"
MARCH 20,Port Talbot - Central Schools,"Port Talbot - Central Schools - Speaker, Miss Foxley, M.A. - Chair, His Worship, the Mayor","['Miss Foxley, M.A.']",,"MARCH 20 , 1914"
MARCH 20,Reigate St. Mark's Lecture Room,"Reigate St. Mark's Lecture Room - Miss Pen- rose Philp on ""81,000 Poor Law Children"". Chair, the Rev. F. C. Davies","['Miss Penrose Philp on ""81,000 Poor Law Children""']",,"MARCH 20 , 1914"
MARCH 20,Southampton - Art Gallery,"Southampton - Art Gallery - Captain Arthur St. John (Hon. Sec. Penal Reform League) on ""Penal Reform""","['Captain Arthur St. John (Hon. Sec. Penal Reform League) on ""Penal Reform""']",,"MARCH 20 , 1914"
MARCH 20,Ventnor Town Hall,"Ventnor Town Hall - Mr. H. Baillie Weaver on ""The Principle and Practice of Women's Suffrage""","['Mr. H. Baillie Weaver on ""The Principle and Practice of Women\'s Suffrage""']",,"MARCH 20 , 1914"
MARCH 20,Wokingham Town Hall,"Wokingham Town Hall - Miss G. Cooke on ""The Disabilities of Wives and Mothers"" - Chair, Mrs. Robie Uniacke","['Miss G. Cooke on ""The Disabilities of Wives and Mothers""']",,"MARCH 20 , 1914"
