Date,Location,Raw,Speakers,Hosts,Issue date
JUNE 5,Camberwell Corner of Grove Lane and Church Street,"Camberwell Corner of Grove Lane and Church Street - Open - air Meeting Speakers , Miss Gloyn , Miss W. Elkin","['Miss Gloyn', 'Miss W. Elkin']",,"JUNE 5 , 1914"
JUNE 5,Weymouth,"Weymouth - Conference of N.U. Secretaries- Beach Meeting - Speaker , Miss Cooke - Chair , Miss Clough Mr. J. Cameron Grant on "" Man , Woman , and the Machine ""","['Miss Cooke', 'Mr. J. Cameron Grant', 'Miss Clough']",,"JUNE 5 , 1914"
JUNE 5,Wyke Regis,"Wyke Regis - Open - air Meeting - Speaker , Miss Cooke - Chair , Mrs. Whalley","['Miss Cooke', 'Mrs. Whalley']",,"JUNE 5 , 1914"
JUNE 5,"Edinburgh - 40, Shandwick Place","Edinburgh - 40 , Shandwick Place- "" At Home "" -Speaker , Ex - Bailie T. P. Gordon",['Ex - Bailie T. P. Gordon'],,"JUNE 5 , 1914"
JUNE 6,Deptford Corner of Pepys Road and New Cross Gate,"Deptford Corner of Pepys Road and New Cross Gate - Open - air Meeting - Speakers , Miss D. Brown , Miss M. Hamilton","['Miss D. Brown', 'Miss M. Hamilton']",,"JUNE 5 , 1914"
JUNE 6,Hendon Outside Hendon Aerodrome,Hendon Outside Hendon Aerodrome - Active Service League Meeting,,,"JUNE 5 , 1914"
JUNE 6,"Birmingham- ""Fallowfield""","Birmingham- "" Fallowfield "" - Hostess , Mrs. Osler - At Home to Circle Secretaries and Workers",[],['Mrs. Osler'],"JUNE 5 , 1914"
JUNE 6,Rothwell (Nr. Leeds),"Rothwell ( Nr . Leeds ) -Open - air Meeting- Miss C. Leadley Brown on "" Widows and Children under the Poor Law """,['Miss C. Leadley Brown'],,"JUNE 5 , 1914"
JUNE 6,"Taunton - 11, The Crescent","Taunton - 11 , The Crescent - Monthly Meeting of Members and Friends",,,"JUNE 5 , 1914"
JUNE 6,Walkern,"Walkern - Open - air Meeting - Speakers , Mrs. Wathen , Miss A. Villiers , Mr. H. R. Lovell ( President Hitchin Trades and Labour Council )","['Mrs. Wathen', 'Miss A. Villiers', 'Mr. H. R. Lovell']",,"JUNE 5 , 1914"
JUNE 6,Corstorphine,"Corstorphine - Active Service League - Open - air Meeting Speakers , Ex - Parish Councillor Williamson , Mrs Shaw McLaren - Chair , Mrs. Ross","['Ex - Parish Councillor Williamson', 'Mrs Shaw McLaren', 'Mrs. Ross']",,"JUNE 5 , 1914"
JUNE 6,Fence Houses,"Fence Houses - Speaker , Mr. J. Alexander",['Mr. J. Alexander'],,"JUNE 5 , 1914"
JUNE 7,Hyde Park Near Reformer's Tree,"Hyde Park Near Reformer's Tree - Speakers , Mrs. Stanbury , Mr. Kennedy","['Mrs. Stanbury', 'Mr. Kennedy']",,"JUNE 5 , 1914"
JUNE 7,Kennington Moffat Institute,"Kennington Moffat Institute - Young People's Class - Subject , "" Elizabeth Fry """,,,"JUNE 5 , 1914"
JUNE 7,"Birmingham - Friends' Hall, Gooch Street","Birmingham - Friends ' Hall , Gooch Street- Speaker , Mrs. Ring",['Mrs. Ring'],,"JUNE 5 , 1914"
JUNE 7,Leeds - Potternewton Park,"Leeds - Potternewton Park - Open - air Meeting -Speaker , Miss C. Leadley Brown",['Miss C. Leadley Brown'],,"JUNE 5 , 1914"
JUNE 7,Leeds - Harehills Park,"Harehills Park - Open - air Meeting - Speaker , Miss C. Leadley Brown",['Miss C. Leadley Brown'],,"JUNE 5 , 1914"
JUNE 7,Aberdeen,"Aberdeen - Speaker , Miss Foggo",['Miss Foggo'],,"JUNE 5 , 1914"
JUNE 7,Musselburgh,"Musselburgh - Speaker , Miss Pressley Smith",['Miss Pressley Smith'],,"JUNE 5 , 1914"
JUNE 8,"Brixton - Women's Labour League, 1, Briscoe Buildings, Brixton Hill","Brixton - Women's Labour League , 1 , Briscoe Buildings , Brixton Hill - Speaker , Mrs. Hunter",['Mrs. Hunter'],,"JUNE 5 , 1914"
JUNE 8,"East St. Pancras - Corner of King Street and High Street, Camden Town","East St. Pancras - Corner of King Street and High Street , Camden Town - Open - air Meeting- Speakers , Mrs. Rogers , Miss Esther","['Mrs. Rogers', 'Miss Esther']",,"JUNE 5 , 1914"
JUNE 8,"Golder's Green and Hendon - 2, Reynold's Close, Golder's Green","Golder's Green and Hendon - 2 , Reynold's Close , Golder's Green - Drawing - room Meeting- Speaker , Miss R. Smith - Chair , Mrs. Garrett","['Miss R. Smith', 'Mrs. Garrett']",,"JUNE 5 , 1914"
JUNE 8,Greenwich Corner of Vanbrugh Hill and Woolwich Road,"Greenwich Corner of Vanbrugh Hill and Woolwich Road - Open - air Meeting - Speakers , Miss P. Fawcett , Miss R. Smith","['Miss P. Fawcett', 'Miss R. Smith']",,"JUNE 5 , 1914"
JUNE 8,Bewdley,"Bewdley - Active Service League - Open - air Meeting Speakers , Mrs. Fletcher , Miss Helen Knight","['Mrs. Fletcher', 'Miss Helen Knight']",,"JUNE 5 , 1914"
JUNE 8,Bilston - Primitive Methodists' Ladies Meeting,"Bilston - Primitive Methodists ' Ladies Meet- ing - Speaker , Mrs. Ring",['Mrs. Ring'],,"JUNE 5 , 1914"
JUNE 8,"Croydon 34a, The Arcade","Croydon 34a , The Arcade - At Home - Miss Theodora Clark on "" Dorothy Wordsworth """,['Miss Theodora Clark'],,"JUNE 5 , 1914"
