Date,Location,Raw,Speakers,Hosts,Description,Issue date
NOVEMBER 10,Croydon Pembroke Hall,"Croydon Pembroke Hall - Public Meeting - Miss Frances Sterling , Mr. R. L. Cholmeley .","['Miss Frances Sterling', 'Mr. R. L. Cholmeley . ']",,,"NOVEMBER 10 , 1910"
NOVEMBER 10,Havant,"Havant - Drawing - room Meeting - Miss Hodgkinson , 8.0 P.L.G. , Miss Basden .","['Miss Hodgkinson', '8.0 P.L.G', 'Miss Basden']",,,"NOVEMBER 10 , 1910"
NOVEMBER 10,St. Helens - Y.M.C.A . Buildings,St. Helens - Y.M.C.A . Buildings -- Miss Royden .,['Miss Royden'],,,"NOVEMBER 10 , 1910"
NOVEMBER 10,Workington - Public Hall,"Workington - Public Hall - Miss I. O. Ford , Miss C. E Marshall .","['Miss I. O. Ford', 'Miss C. E Marshall']",,,"NOVEMBER 10 , 1910"
NOVEMBER 10,"Bristol - 111a , Whiteladies ' Road","Bristol - 111a , Whiteladies ' Road - Debate - Mrs . Hicks , Miss Fowcraker .","['Mrs . Hicks', 'Miss Fowcraker . ']",,,"NOVEMBER 10 , 1910"
NOVEMBER 11,Preston - Public Hall,"Preston - Public Hall - Lady Frances Balfour , Mrs. Allan Bright .","['Lady Frances Balfour', 'Mrs. Allan Bright']",,,"NOVEMBER 10 , 1910"
NOVEMBER 11,Leeds Lidgett Park Chapel Schoolroom,"Leeds Lidgett Park Chapel Schoolroom - Miss I. O. Ford , Miss Fielden","['Miss I. O. Ford', 'Miss Fielden']",,,"NOVEMBER 10 , 1910"
NOVEMBER 11,Birmingham - Sutton,"Birmingham - Sutton - Drawing - room Meeting to form local 8.0 Society to join Midland Federation - Miss Noel Wright , Mrs. Ring .","['Miss Noel Wright', 'Mrs. Ring . ']",,,"NOVEMBER 10 , 1910"
NOVEMBER 11,Redhill,"Redhill - Joint Demonstration with Men's League - Miss Maude Royden , J. Malcolm Mitchell , Esq .","['Miss Maude Royden', 'J. Malcolm Mitchell']",,,"NOVEMBER 10 , 1910"
NOVEMBER 11,Letchworth,"Letchworth - Meetings at 1 , 3.30 , and 8 - Miss Cooke , Mr. Nowers .","['Miss Cooke', 'Mr. Nowers']",,,"NOVEMBER 10 , 1910"
NOVEMBER 12,New Forest - Brockenhurst Church Room,New Forest - Brockenhurst Church Room - Miss R. Phillips,['Miss R. Phillips'],,,"NOVEMBER 10 , 1910"
NOVEMBER 12,New Forest - Bransgore - School,New Forest - Bransgore - School - Miss R. Phillips .,['Miss R. Phillips'],,,"NOVEMBER 10 , 1910"
NOVEMBER 12,Norwood and District - Suffrage Offices,"Norwood and District - Suffrage Offices - Miss Abadam , Miss Green","['Miss Abadam', 'Miss Green']",,,"NOVEMBER 10 , 1910"
NOVEMBER 14,Penarth Paget Rooms,Penarth Paget 1 Rooms Public Meeting - Miss Chrystal MacMillan .,['Miss Chrystal MacMillan'],,,"NOVEMBER 10 , 1910"
NOVEMBER 14,Macclesfield - Town Hall,"Macclesfield - Town Hall - Public Meeting - Rev . J. Elstob , M.A. , Miss Abadam .","['Rev . J. Elstob', 'Miss Abadam']",,,"NOVEMBER 10 , 1910"
NOVEMBER 14,Llandudno Cambridge Restaurant,Llandudno Cambridge Restaurant - Debate .,,,,"NOVEMBER 10 , 1910"
NOVEMBER 14,Letchworth,Letchworth - Women Only - Mrs . Price .,['Mrs . Price'],,,"NOVEMBER 10 , 1910"
NOVEMBER 14,Letchworth,Letchworth Mr. Sydney Palmer,['Mr. Sydney Palmer'],,,"NOVEMBER 10 , 1910"
NOVEMBER 15,Swindon,Swindon - Public Meeting - Mrs . Rackham .,['Mrs . Rackham . '],,,"NOVEMBER 10 , 1910"
NOVEMBER 15,Cardiff - Whitehall Rooms,"Cardiff - Whitehall Rooms Public Meeting - Miss Chrystal MacMillan , Sir John Cockburn .","['Miss Chrystal MacMillan', 'Sir John Cockburn']",,,"NOVEMBER 10 , 1910"
NOVEMBER 15,Bollington Sunday School,"Bollington Sunday School J. R. Tomlinson , Esq . , Miss M. Robertson , B.A. 7.30","['J. R. Tomlinson', 'Miss M. Robertson']",,,"NOVEMBER 10 , 1910"
NOVEMBER 15,Blackpool West Street Tea Rooms,Blackpool West Street Tea Rooms - Mrs . Bertrand Russell .,['Mrs . Bertrand Russell'],,,"NOVEMBER 10 , 1910"
NOVEMBER 15,Leeds Co - operative Women's Guild - Bendenell Road,Leeds Co - operative Women's Guild - Bendenell Road - Mrs . Parrish .,['Mrs . Parrish'],,,"NOVEMBER 10 , 1910"
NOVEMBER 15,Letchworth,"Letchworth - Meetings at 1 , 3.30 , and 8 - Miss Foxley , Mr. Purdom .","['Miss Foxley', 'Mr. Purdom']",,,"NOVEMBER 10 , 1910"
NOVEMBER 16,Nottingham,Nottingham - Weekly At Home - Mrs . Inglis .,[],['Mrs . Inglis'],,"NOVEMBER 10 , 1910"
NOVEMBER 16,Wakefield Conservative Club,Wakefield Conservative Club - Lecture - Miss Fielden .,['Miss Fielden'],,,"NOVEMBER 10 , 1910"
NOVEMBER 16,Leeds Burley - Women's Labour League,Leeds Burley - Women's Labour League - Miss I. O. Ford .,['Miss I. O. Ford'],,,"NOVEMBER 10 , 1910"
NOVEMBER 16,Letchworth,"Letchworth - Meetings at 1 , 3.30 , and 8 - Miss Clarke , B.A. , Miss Cooke .","['Miss Clarke', 'Miss Cooke']",,,"NOVEMBER 10 , 1910"
NOVEMBER 17,Sheffield - Cutlers ' Hall,Sheffield - Cutlers ' Hall - Miss Blanche Leppington .,['Miss Blanche Leppington'],,,"NOVEMBER 10 , 1910"
NOVEMBER 17,Sheffield - Cutlers ' Hall,Sheffield - Cutlers ' Hall - Miss Blanche Leppington .,['Miss Blanche Leppington'],,,"NOVEMBER 10 , 1910"
NOVEMBER 17,Dublin,Dublin Irish W.S. and Local Government Association - Committee Meeting .,,,,"NOVEMBER 10 , 1910"
NOVEMBER 17,Crewe,Crewe Members ' Meeting - Miss Robertson .,['Miss Robertson'],,Members ' Meeting,"NOVEMBER 10 , 1910"
NOVEMBER 17,Letchworth,Letchworth Dinner - hour Meeting .,,,,"NOVEMBER 10 , 1910"
NOVEMBER 17,Baldock Town Hall,Baldock Town Hall - Miss Geraldine Cooke .,['Miss Geraldine Cooke'],,,"NOVEMBER 10 , 1910"
NOVEMBER 18,"Birmingham - Baskerville House, Harborne","Birmingham - Baskerville House , Harborne - Mrs Rylands ' Drawing - room Meeting - Miss Helga Gill , Mrs. Osler .","['Miss Helga Gill', 'Mrs. Osler . ']",,,"NOVEMBER 10 , 1910"
NOVEMBER 18,Leeds - Burley Liberal Club,Leeds - Burley Liberal Club - Miss Fielden .,['Miss Fielden'],,,"NOVEMBER 10 , 1910"
NOVEMBER 18,Birmingham Franchise Club,"Birmingham Franchise Club- "" Industrial Women and the Law . """,,,""" Industrial Women and the Law . ""","NOVEMBER 10 , 1910"
NOVEMBER 18,Letchworth,"Letchworth - Meetings at 1 , 3.30 , and 8 - Miss Cooke , Mr. H. Stewart .","['Miss Cooke', 'Mr. H. Stewart']",,,"NOVEMBER 10 , 1910"
NOVEMBER 19,Norwood and District - Suffrage Offices,"Norwood and District - Suffrage Offices - Rev . R. Pyke , Miss Green .","['Rev . R. Pyke', 'Miss Green']",,,"NOVEMBER 10 , 1910"
NOVEMBER 19,Leeds Headingly Wesleyan Guild,Leeds Headingly Wesleyan Guild - Miss Fielden .,['Miss Fielden'],,,"NOVEMBER 10 , 1910"
NOVEMBER 19,Letchworth,Letchworth - Mrs . Price .,['Mrs . Price'],,,"NOVEMBER 10 , 1910"
NOVEMBER 21,Cambridge - Bourn,"Cambridge - Bourn - Miss Cochrane , Mrs. Rackham .","['Miss Cochrane', 'Mrs. Rackham']",,,"NOVEMBER 10 , 1910"
NOVEMBER 22,Leeds - Presbyterian Church,Leeds - Presbyterian Church - Debate - Mrs . Parrish .,['Mrs . Parrish'],,,"NOVEMBER 10 , 1910"
NOVEMBER 22,Leeds - Morley - St . Mary's Fellowship,Leeds - Morley - St . Mary's Fellowship - Miss Fielden .,['Miss Fielden'],,,"NOVEMBER 10 , 1910"
NOVEMBER 23,Dormansland - The Parish Room,"Dormansland - The Parish Room - Miss Frances Sterling , Miss Barbara Duncan .","['Miss Frances Sterling', 'Miss Barbara Duncan']",,,"NOVEMBER 10 , 1910"
NOVEMBER 23,Hull Victoria Hall,Hull Victoria Hall - Public Meeting - Miss I. O. Ford .,['Miss I. O. Ford'],,,"NOVEMBER 10 , 1910"
NOVEMBER 23,Nottingham,Nottingham - Weekly At Home - Mrs . J. M. Lees .,[],['Mrs . J. M. Lees . '],,"NOVEMBER 10 , 1910"
