Date,Location,Raw,Speakers,Hosts,Description,Issue date
NOVEMBER 28,Balham,"Balham - Open - air Meeting , corner of Ormer- ley Road , Balham High Road - Speaker , Miss M. Hamilton",['Miss M. Hamilton'],,,"NOVEMBER 28 , 1913"
NOVEMBER 28,Camberwell,"Camberwell - Open - air Meeting in Grove Lane- Speakers , Miss A. Gloyne , Miss Ellen Walshe","['Miss A. Gloyne', 'Miss Ellen Walshe']",,,"NOVEMBER 28 , 1913"
NOVEMBER 28,Islington,"Islington - Barnsbury Hall , Upper Street- Suffrage Club - Members ' Night ( one guest each allowed )",,,,"NOVEMBER 28 , 1913"
NOVEMBER 28,London,"London Society's Reception - Westminster Palace Hotel - Speakers , Lady Frances Balfour , Miss Sheepshanks , Lord Robert Cecil ( engage- ments permitting )","['Lady Frances Balfour', 'Miss Sheepshanks', 'Lord Robert Cecil']",,,"NOVEMBER 28 , 1913"
NOVEMBER 30,Clapham,"Clapham - Morris Hall , 11a , North Street- Meeting of Independent Labour Party - Speaker , Mrs. Stanbury",['Mrs. Stanbury'],,,"NOVEMBER 28 , 1913"
DECEMBER 1,Ealing,"Ealing 37 , Uxbridge Road , Ealing - Drawing- room meeting - Hostess , Miss Debac - Speaker , Dr. Chubb , on "" Infant Mortality """,['Dr. Chubb'],['Miss Debac'],,"NOVEMBER 28 , 1913"
DECEMBER 1,South London,"South London- "" At Home , "" Trade Union Hall , 30 , Brixton Road - Speaker , Miss H. Thomson , M.A. Florence Nightingale """,['Miss H. Thomson'],,,"NOVEMBER 28 , 1913"
DECEMBER 1,Wandsworth,"Wandsworth - The Town Hall , High Street , Wandsworth - Conversazione Speaker , Mrs. Corbett Ashby - Chair , Dr. Clara Fritter - Play by the Actresses ' Franchise League",['Mrs. Corbett Ashby'],,,"NOVEMBER 28 , 1913"
DECEMBER 2,Croydon,"Croydon - 11 , Wellesley Road - Drawing - room meeting Hostess , Mrs. Richards - Speaker , Mrs. Rackham",['Mrs. Rackham'],['Mrs. Richards'],,"NOVEMBER 28 , 1913"
DECEMBER 2,Finchley,"Finchley - Monksbury , Etchingham Park Road -Study circle",,,,"NOVEMBER 28 , 1913"
