Date,Location,Raw,Description,Speakers,Hosts,Issue date
JANUARY 19,"Worcester ""The College"" (Canon Wilson's)","Worcester ""The College"" (Canon Wilson's) -Members' Meeting. 3.30",Members' Meeting,,,"JANUARY 19 , 1911"
JANUARY 20,"Hull Royal Institution, Albion Street","Hull Royal Institution, Albion Street, Public Meeting - Mrs. Henry Fawcett, LL.D., Mrs. Alan Bright. 8.0",,"['Mrs. Henry Fawcett', 'Mrs. Alan Bright']",,"JANUARY 19 , 1911"
JANUARY 20,"Birmingham - 10, Easy Row","Birmingham - 10, Easy Row - Franchise Club. 5.30",Franchise Club,,,"JANUARY 19 , 1911"
JANUARY 20,Cuckfield - Queen's Hall,Cuckfield - Queen's Hall - Miss Royden. 3.0,,['Miss Royden'],,"JANUARY 19 , 1911"
JANUARY 20,"North of England - 85, Deansgate Arcade, Manchester","North of England - 85, Deansgate Arcade, Manchester - Annual General Meeting. 5.30",Annual General Meeting,,,"JANUARY 19 , 1911"
JANUARY 20,Milford - School Room,Milford - School Room - Miss Abadam. 8.0,,['Miss Abadam'],,"JANUARY 19 , 1911"
JANUARY 20,Hassocks Hatton Hall,"Hassocks Hatton Hall - Miss Royden, R. Pott, Esq. 7.45",,"['Miss Royden', 'R. Pott, Esq']",,"JANUARY 19 , 1911"
JANUARY 21,Camberley - Frimley Rectory,"Camberley - Frimley Rectory - Church League Meeting - Mrs. Basset (hostess), Miss Frances Sterling.",,['Miss Frances Sterling'],,"JANUARY 19 , 1911"
JANUARY 24,"Bournemouth - Assembly Rooms, Town Hall Avenue","Bournemouth - Assembly Rooms, Town Hall Avenue - Debate- Mrs. Rowe. 3.0",,['Mrs. Rowe'],,"JANUARY 19 , 1911"
JANUARY 24,"Huddersfield - Parochial Hall, George Street","Huddersfield - Parochial Hall, George Street - Presentation of New Banner by Mrs. Josiah Lockwood. 4.0",Presentation of New Banner,,['Mrs. Josiah Lockwood'],"JANUARY 19 , 1911"
JANUARY 24,Watford - Co-operative Hall,Watford - Co-operative Hall - Miss Milton. 3.30,,['Miss Milton'],,"JANUARY 19 , 1911"
JANUARY 26,"Oldham - Co-operative Hall, King Street","Oldham - Co-operative Hall, King Street - Debate. 8.0",Debate,,,"JANUARY 19 , 1911"
JANUARY 27,"Wallasey and Wirral - Public Hall, West Kirby","Wallasey and Wirral - Public Hall, West Kirby - Mrs. Alan Bright. 3.0",,['Mrs. Alan Bright'],,"JANUARY 19 , 1911"
