Date,Location,Raw,Speakers,Hosts,Description,Issue date
November 22,Balham,"Balham , Assembly Rooms , Minor Hall . Mrs. Drummond , Miss M. Thompson , Miss Amy Winter .","['Mrs. Drummond', 'Miss M. Thompson', 'Miss Amy Winter']",,,"November 22 , 1912"
November 23,Chiswick,"Chiswick , Duke's - road . Mrs. Dacre Fox",['Mrs. Dacre Fox'],,,"November 22 , 1912"
November 23,Harlesden,"Harlesden , Manor Park - road . Miss P. Rickard",['Miss P. Rickard'],,,"November 22 , 1912"
November 23,Ilford,"Ilford , Balfour - road . Chair : Mrs. Miller",,['Mrs. Miller'],,"November 22 , 1912"
November 23,Kingston,"Kingston , Church - street . Miss E. Wylie . Chair : Mrs. Dacre Fox",['Miss E. Wylie'],,,"November 22 , 1912"
November 23,Lewisham,"Lewisham , I , Lewis - grove",,,Miss E. Lowy,"November 22 , 1912"
November 23,Palmer's Green,"Palmer's Green , Alderman's Hill . Miss H. Gargett",['Miss H. Gargett'],,,"November 22 , 1912"
November 23,Richmond,"Richmond , Heron Court . Mr. Reginald Pott",['Mr. Reginald Pott'],,,"November 22 , 1912"
November 23,Stratford,"Stratford , Maryland Point . Miss Harbott",['Miss Harbott'],,,"November 22 , 1912"
November 23,Wimbledon Broadway,Wimbledon Broadway . Miss Coombs . Chair : Mrs. Dickinson,['Miss Coombs'],,,"November 22 , 1912"
November 24,Hampstead Heath,"Hampstead Heath , Flagstaff . Miss Gilliatt , Mrs. Sadd Brown","['Miss Gilliatt', 'Mrs. Sadd Brown']",,,"November 22 , 1912"
November 24,Hyde Park,"Hyde Park , near Marble Arch ( M.P.U. ) . Mr. E. Shaw , Mrs. Bouvièr .","['Mr. E. Shaw', 'Mrs. Bouvièr']",,,"November 22 , 1912"
November 24,Wimbledon Common,Wimbledon Common . Miss Marie Naylor,['Miss Marie Naylor'],,,"November 22 , 1912"
November 25,Croydon,"Croydon , 50 , High - street . White Slave Traffic",,,White Slave Traffic,"November 22 , 1912"
November 25,Limehouse,"Limehouse , St. Peter's Church Room , Ganford- street . Mothers ' Union . Miss Naylor",['Miss Naylor'],,,"November 22 , 1912"
November 25,London Pavilion,"London Pavilion , Piccadilly - circus , W. Mrs. Pankl urst , Mrs. Mansell - Moullin , Mrs. Israel Zangwill","['Mrs. Pankhurst', 'Mrs. Mansell-Moullin', 'Mrs. Israel Zangwill']",,,"November 22 , 1912"
November 25,Streatham Town Hall,"Streatham Town Hall . Mrs. Kineton Parkes , Miss G. Richards . Chair : Mrs. Tyson","['Mrs. Kineton Parkes', 'Miss G. Richards']",,,"November 22 , 1912"
November 26,Haverstock Hill,"Haverstock Hill , Town Hall , N.W. Lady Bunting , Dr. Agnes Savill , Mr. W. Lyon Blease , Rev. A. Green , Mr. C. Wye . Chair : Mrs. Saul Solomon","['Lady Bunting', 'Dr. Agnes Savill', 'Mr. W. Lyon Blease', 'Rev. A. Green', 'Mr. C. Wye']",,,"November 22 , 1912"
November 26,Kilburn,"Kilburn , 310 , High - road , Lecture Room . "" At Home . "" Miss G. Richard , Miss Crowe","['Miss G. Richard', 'Miss Crowe']",,,"November 22 , 1912"
November 26,Palmer's Green,"Palmer's Green , 6 , Stonard - road . Fireside Talks",,,Fireside Talks,"November 22 , 1912"
November 26,Raynes Park,Raynes Park . Mrs. Davies . Chair : Miss Belile,['Mrs. Davies'],,,"November 22 , 1912"
November 27,Ilford,"Ilford , East Ham ( opposite "" The Cock "" ) . Miss Haslam",['Miss Haslam'],,,"November 22 , 1912"
November 27,Thornton Heath Clock,"Thornton Heath Clock . Miss Rogers , Miss Julian","['Miss Rogers', 'Miss Julian']",,,"November 22 , 1912"
