Date,Location,Raw,Description,Hosts,Speakers,Issue date
OCTOBER 10,"Croydon Oak Cottage, Norbury Avenue, Norbury","Croydon Oak Cottage, Norbury Avenue, Norbury- 3.30 "" 8.0 drawing - room meeting, by kind invi- tation of Mrs. Knight ( Miss Crick- may )",drawing-room meeting,['Mrs. Knight'],['Miss Crickmay'],"OCTOBER 10 , 1912"
OCTOBER 10,"Croydon - 34a, Arcade, High Street","Oroydon - 34a, Arcade, High Street- "" At Home for teachers - Miss T. E. Clark ( chair )",At Home for teachers,,['Miss T. E. Clark'],"OCTOBER 10 , 1912"
OCTOBER 10,"Manchester - Albert Hall, Peter Street","Manchester - Great Joint Women's Suffrage Demon- stration - Albert Hall, Peter Street, Manchester - Mrs. Henry Fawcett, LL.D, Phillip Snowden, M.P., Laur- ence Housman, Esq., A. M. Langdon, Esq., K.C., etc., Councillor Margaret Ashton, M.A. ( chair )",Great Joint Women's Suffrage Demonstration,,"['Mrs. Henry Fawcett', 'Phillip Snowden', 'Laurence Housman', 'A. M. Langdon', 'Councillor Margaret Ashton']","OCTOBER 10 , 1912"
OCTOBER 10,Ford,"Ford Dublin - 33, Molesworth Street - Irish W.S. and Local Government Association",Irish W.S. and Local Government Association,,,"OCTOBER 10 , 1912"
OCTOBER 10,Barnsley - Arcade Hall,"Barnsley - Arcade Hall - Mrs. Despard, Miss I. O. Bristol - The Coliseum - suffrage stall - the Misses 7.30 11.30 8.30 Chate",,,"['Mrs. Despard', 'Miss I. O. Bristol']","OCTOBER 10 , 1912"
OCTOBER 10,Chesterfield - Market Place,"Chesterfield - Market Place - Mrs. Cowmeadow, Miss Rushbrooke 7.0 Clydach Vale - I.L.P. Branch - Miss Helen Fraser 8.0",,,"['Mrs. Cowmeadow', 'Miss Rushbrooke', 'Miss Helen Fraser']","OCTOBER 10 , 1912"
OCTOBER 11,Huddersfield - Collinson's Café,"Huddersfield - Collinson's Café - Miss I. 0. Ford, Miss Seddon ( chair ) 8.0",,,"['Miss I. O. Ford', 'Miss Seddon']","OCTOBER 10 , 1912"
OCTOBER 11,Chesterfield - Market Hall,"Chesterfield - Market Hall - Mrs. Manners, P.L.E., chair, Mrs. F. T. Swanwick, M.A., Mr. Winterton 12-10",,,"['Mrs. Manners', 'Mrs. F. T. Swanwick', 'Mr. Winterton']","OCTOBER 10 , 1912"
OCTOBER 11,Malton - Cafe Wheelgate,"Malton - Cafe Wheelgate - Miss Eleanor Rathborne Shrewsbury - Music Hall - Miss Frances Sterling, Laurence Housman, Esq., Mrs. Harley ( chair ), West Midland Federation demonstration 8.0 7.30 8.0",,,"['Miss Eleanor Rathborne', 'Miss Frances Sterling', 'Laurence Housman', 'Mrs. Harley']","OCTOBER 10 , 1912"
OCTOBER 11,Shrewsbury - Music Hall,"Shrewsbury - Music Hall - Miss Frances Sterling, Laurence Housman, Esq., Mrs. Harley ( chair ), West Midland Federation demonstration",West Midland Federation demonstration,,"['Miss Frances Sterling', 'Laurence Housman', 'Mrs. Harley']","OCTOBER 10 , 1912"
OCTOBER 11,"Liverpool - Employment Bureau, 27, Leece Street","Liverpool - Employment Bureau, 27, Leece Street, Mrs. Corbett Ashby 5.0",,,['Mrs. Corbett Ashby'],"OCTOBER 10 , 1912"
OCTOBER 12,"Croydon - Oak Cottage, Norbury Avenue, Norbury","Croydon - Mrs OCTOBER 12. Knight's drawing - room meeting, Oak Cottage, Norbury Avenue, Nor- bury Mrs. Dempster. 3.30",drawing-room meeting,['Mrs. Knight'],['Mrs. Dempster'],"OCTOBER 10 , 1912"
OCTOBER 14,Ryhope Miners ' Hall,"Ryhope Miners ' Hall - Miss C. M. Gordon, Mrs. Chew, Miss Beaver 7.30",,,"['Miss C. M. Gordon', 'Mrs. Chew', 'Miss Beaver']","OCTOBER 10 , 1912"
OCTOBER 14,Rhondda Porth,"Rhondda Porth Public Bristol - The Coliseum - suffrage stall - Mrs. Willis 12-10 Bristol - 111a, White Ladies ' Road - speakers ' class -Leader, Mrs. R. Vickers Darlington - United Methodist Church- "" Woman's Place in the State "" -Miss Lucas Meeting - Miss Helen 2.30 Fraser 8.0",,,['Miss Helen Fraser'],"OCTOBER 10 , 1912"
OCTOBER 14,"Oroydon - 34a, Arcade, High Street","Oroydon - 34a, Arcade, High Street, At Home "" - Miss Cockle",At Home,,['Miss Cockle'],"OCTOBER 10 , 1912"
OCTOBER 15,"Newcastle - on - Tyne - Monk Seaton, Avenue Hotel","Newcastle - on - Tyne - Monk Seaton, Avenue Hotel- Mrs. Morgan's drawing - room meeting -Mrs. Chew, Councillor Maud Burnett 3.30",drawing-room meeting,['Mrs. Morgan'],"['Mrs. Chew', 'Councillor Maud Burnett']","OCTOBER 10 , 1912"
OCTOBER 15,Lymington - Literary Institute,"Lymington - Literary Institute - Miss Cicely Cor- bett, J. P. Shrubb, Esq. ( chair )",,,"['Miss Cicely Corbett', 'J. P. Shrubb']","OCTOBER 10 , 1912"
OCTOBER 15,"Hastings - Club, Havelock Road","Hastings - Club, Havelock Road - special autumn 3.0 12-10 meeting 3.30",special autumn meeting,,,"OCTOBER 10 , 1912"
OCTOBER 15,Monkseaton,Monkseaton - Mrs. Morgan's drawing - room meeting Councillor Maud Burnett - Mrs. Chew,drawing-room meeting,,"['Councillor Maud Burnett', 'Mrs. Chew']","OCTOBER 10 , 1912"
OCTOBER 15,Pangbourne Breedon School,"Pangbourne Breedon School - Mrs. Haverfield Liverpool - Docks - open - air meeting, Park Road, Northumberland Street",,,['Mrs. Haverfield'],"OCTOBER 10 , 1912"
OCTOBER 16,Accrington - Oak Street Assembly Room,Accrington - Oak 3.30 3.0 7.30 Huntingdon - Corn Exchange - Lady Frances Balfour -Rev. W. R. Gardner ( chair ) . Bristol - The Coliseum - Suffrage Stall - The Misses Chate,,,['Lady Frances Balfour'],"OCTOBER 10 , 1912"
OCTOBER 16,Huntingdon - Corn Exchange,Huntingdon - Corn Exchange - Lady Frances Balfour -Rev. W. R. Gardner ( chair ),,,"['Lady Frances Balfour', 'Rev. W. R. Gardner']","OCTOBER 10 , 1912"
OCTOBER 17,Wolverhampton - Assembly Rooms - Queen's Square,"Wolverhampton - Assembly Rooms - Queen's Square -Trades Council meeting - Mrs. Ring, of Birmingham Deal - Theatre Royal - Mr. Lyon Blease. Dr. Ettie Sayer, and others - Countess Brassey ( chair )",Trades Council meeting,,"['Mrs. Ring', 'Mr. Lyon Blease', 'Dr. Ettie Sayer', 'Countess Brassey']","OCTOBER 10 , 1912"
OCTOBER 17,Deal - Theatre Royal,"Deal - Theatre Royal - Mr. Lyon Blease. Dr. Ettie Sayer, and others - Countess Brassey ( chair )",,,"['Mr. Lyon Blease', 'Dr. Ettie Sayer', 'Countess Brassey']","OCTOBER 10 , 1912"
OCTOBER 17,Ashington - Miners ' Hall,"Ashington - Miners ' Hall - Miss C. M. Gordon, Mrs. Chew 8.30 3.0 7.30",,,"['Miss C. M. Gordon', 'Mrs. Chew']","OCTOBER 10 , 1912"
OCTOBER 17,New Milton - Pagoda Tea Rooms,"New Milton - Pagoda Tea Rooms, Miss Cicely D. Corbett, Rev. J. E. Kelsall ( chair )",,,"['Miss Cicely D. Corbett', 'Rev. J. E. Kelsall']","OCTOBER 10 , 1912"
OCTOBER 17,Felixstowe Hamilton Hall,"Felixstowe Hamilton Hall - Lady Frances Balfour, Mrs. A. W. Griffiths ( chair )",,,"['Lady Frances Balfour', 'Mrs. A. W. Griffiths']","OCTOBER 10 , 1912"
OCTOBER 17,Dovercourt - Alexandra Hall,"Dovercourt - Alexandra Hall - Public Meeting - Lady Frances Balfour, Major Nalborough ( chair )",Public Meeting,,"['Lady Frances Balfour', 'Major Nalborough']","OCTOBER 10 , 1912"
OCTOBER 17,Jarrow - Mechanic's Hall,Jarrow - Mechanic's Hall - Whist drive and dance -Miss C. M. Gordon 7.30,Whist drive and dance,,['Miss C. M. Gordon'],"OCTOBER 10 , 1912"
OCTOBER 17,Hitchin - Workman's Hall,Hitchin - Workman's Hall - Mrs. Nott - Bower - Mrs. Herbert Jones ( chair ) -Criminal Law Amendment Bill - Women only,Criminal Law Amendment Bill - Women only,,"['Mrs. Nott-Bower', 'Mrs. Herbert Jones']","OCTOBER 10 , 1912"
OCTOBER 18,Bracknell - Temperance Hall,"Bracknell - Public Meeting - Temperance Hall - Mr. Malcolm Mitchell, Mrs. Robie Uniacke -Mrs. King George ( chair )",Public Meeting,,"['Mr. Malcolm Mitchell', 'Mrs. Robie Uniacke', 'Mrs. King George']","OCTOBER 10 , 1912"
OCTOBER 18,Birmingham - Queen's College,"Birmingham - Queen's College Franchise 8.0 7.30 8.0 Liverpool - Open - Air Meeting, Park Road, High Park Gardens 7.30 Ton, Pentre Co - operative Hall - Mrs. E. L. Davies, Miss Helen Fraser",Franchise,,"['Mrs. E. L. Davies', 'Miss Helen Fraser']","OCTOBER 10 , 1912"
OCTOBER 18,"Leeds - 9, Park Lane","Leeds - 9, Park Lane - Address to teachers - Mrs. Parrish",Address to teachers,,['Mrs. Parrish'],"OCTOBER 10 , 1912"
OCTOBER 18,Sandown Town Hall,"Sandown Town Hall Bristol - Cake, Jam and Sweet Sale, and Musical Teas Mrs. Cross, Drayton, Beaufort Road, Clifton Bristol - The Coliseum - Suffrage Stall - Miss Baker, Miss Stack 3.15 8.0 12.7 12-10","Cake, Jam and Sweet Sale, and Musical Teas",['Mrs. Cross'],,"OCTOBER 10 , 1912"
OCTOBER 19,Hetton - le - Hole - Miners Hall,"Hetton - le - Hole - Miners 8.0 7.30 Hall - Mrs. Chew, Miss I. S. A. Beaver, and Miss C. M. Gordon",,,"['Mrs. Chew', 'Miss I. S. A. Beaver', 'Miss C. M. Gordon']","OCTOBER 10 , 1912"
OCTOBER 19,Pangbourne - New Hall,"Pangbourne - New Hall Debate on W.S. - Miss Margaret Robertson, Miss Gladys Pott (arranged in conjunction with N.L.O.W.S.)",Debate on W.S.,,"['Miss Margaret Robertson', 'Miss Gladys Pott']","OCTOBER 10 , 1912"
OCTOBER 19,Neath Public Hall - I.L.P,Neath Public Hall - I.L.P - Miss H. Fraser,,,['Miss H. Fraser'],"OCTOBER 10 , 1912"
OCTOBER 20,Briton Ferry - Hall - I.L.P.,Briton Ferry - Hall - I.L.P. - Miss H. Fraser,,,['Miss H. Fraser'],"OCTOBER 10 , 1912"
OCTOBER 21,Houghton - le - Spring - Miners ' Hall,"Houghton - le - Spring - Miners ' Hall - Mrs. Chew, Miss I. S. A. Beaver, and Miss O. M. Gordon 7.30",,,"['Mrs. Chew', 'Miss I. S. A. Beaver', 'Miss O. M. Gordon']","OCTOBER 10 , 1912"
OCTOBER 21,Ilkeston - Town Hall,"Ilkeston - Town Hall - Miss Cicely Corbett, B.A., Mrs. Cowmeadow - Alderman Shakespeare ( chair ) W. 8.0",,,"['Miss Cicely Corbett', 'Mrs. Cowmeadow', 'Alderman Shakespeare']","OCTOBER 10 , 1912"
OCTOBER 21,Swansea Schoolroom,"Swansea Schoolroom - Miss II. Fraser, Miss Dillwyn Croydon - 34a, Arcade, High Street - At Home - Mrs. Knight ( Miss Crickmay ) 2.30 3.0 3.30",,,"['Miss II. Fraser', 'Miss Dillwyn']","OCTOBER 10 , 1912"
OCTOBER 22,Cambridge Guildhall,"Cambridge Guildhall - The Dean of Worcester, Mrs. Osler and Mr. Strachan - The Master of Selwyn ( chair )",,,"['The Dean of Worcester', 'Mrs. Osler', 'Mr. Strachan', 'The Master of Selwyn']","OCTOBER 10 , 1912"
OCTOBER 22,Grange - over - Sands,Grange - over - Sands - Mrs. Gandy Kendal ( chair ) - Miss Norma Smith 8.0 - Mrs. 12.10 8.0 7.30 Beaver,,,"['Mrs. Gandy Kendal', 'Miss Norma Smith']","OCTOBER 10 , 1912"
OCTOBER 22,Walker - Co - operative Hall,"Walker - Co - operative Hall- "" At Home """,At Home,,,"OCTOBER 10 , 1912"
OCTOBER 22,"Wokingham - Schoolroom, Denmark Street","Wokingham - Schoolroom, -Denmark Street - Mem- 7.30 7.30 5.0 12.10 OCTOBER 23. Silksworth - Miners ' Hall- "" At Home """,Members and Friends,,"['Mrs. Robie Uniacke', 'Miss V. Eustace']","OCTOBER 10 , 1912"
OCTOBER 23,North Shields - Percy Hall,"North Shields - Percy Hall - Dr. Ethel Williams- Mrs. Chew, Rew Lewis Johnson - Joint meeting of N.U. and I.L.P.",Joint meeting of N.U. and I.L.P.,,"['Dr. Ethel Williams', 'Mrs. Chew', 'Rew Lewis Johnson']","OCTOBER 10 , 1912"
OCTOBER 24,"Birmingham - Lawn House, Edgbaston","Birmingham - Lawn House, Edgbaston - Mrs. Walter Barrow's drawing - room meeting - Mrs. F. T. Swanwick - Mrs. Godlee ( chair )",drawing-room meeting,['Mrs. Walter Barrow'],"['Mrs. F. T. Swanwick', 'Mrs. Godlee']","OCTOBER 10 , 1912"
OCTOBER 10,"S. Paddington - 75, Hereford Road, W.","S. Paddington - 75, Hereford Road, W. - Sewing meeting for the London Society's Bazaar, members and friends from all constituencies welcome 3.30","Sewing meeting for the London Society's Bazaar, members and friends from all constituencies welcome",,,"OCTOBER 10 , 1912"
OCTOBER 10,"Kensington, N and S. - 8, Queen's Gate Terrace","Kensington, N and S. - 8, Queen's Gate Terrace Working party 3.0",Working party,,,"OCTOBER 10 , 1912"
OCTOBER 10,"Hampstead - 13, Belsize Park Gardens","Hampstead - 13, Belsize Park Gardens - Hostess, Mrs. Fortescue Fox - Working party 3.0-6.0",Working party,['Mrs. Fortescue Fox'],,"OCTOBER 10 , 1912"
OCTOBER 10,"North London - Y.M.C.A., 17, Camden Road, N.","North London Reception - Y.M.C.A., 17, Camden . Road, N. - Speaker, Mrs. Savory",Reception,,['Mrs. Savory'],"OCTOBER 10 , 1912"
OCTOBER 10,West Southwark - Corner of Friar Street and Great Suffolk Street,"West Southwark - Corner of Friar Street and Great Suffolk Street open - air meeting Speakers, Miss Corbett, Mr. F. N. Sargeant",open-air meeting,,"['Miss Corbett', 'Mr. F. N. Sargeant']","OCTOBER 10 , 1912"
OCTOBER 10,"Hackney, C. - Clapton Presbyterian Church of England, Lecture Hall, Cricketfield Road","Hackney, C. - Clapton Presbyterian Church of England, Lecture Hall, Cricketfield Road Speaker, Miss P. Fawcett",,,['Miss P. Fawcett'],"OCTOBER 10 , 1912"
OCTOBER 11,Muswell Hill,"Muswell Hill - Sewing Meeting, Hostess, Mrs. Fox, 65, Onslow Gardens",Sewing Meeting,['Mrs. Fox'],,"OCTOBER 10 , 1912"
