Date,Location,Raw,Speakers,Description,Hosts,Issue date
"Friday, April 28","Chelsea, Sloane Square","Chelsea, Sloane Square",['Miss Naylor'],,,"April 28, 1911"
"Friday, April 28","4, Clements Inn, W.C.","4, Clements Inn, W.C.","['Speakers Class', 'Miss Rosa Leo']",,,"April 28, 1911"
"Friday, April 28",Dulwich Library,Dulwich Library,,Outdoor Meeting,,"April 28, 1911"
"Friday, April 28","S05, Fulham Road, S.W.","S05, Fulham Road, S.W.",['Miss Naylor'],,,"April 28, 1911"
"Friday, April 28","Kensington, 17, Stanley Crescent","Kensington, 17, Stanley Crescent","['Miss Brackenbury', 'Rev. E. Hounslow']",,,"April 28, 1911"
"Friday, April 28","Harrow Road, Prince of Wales (outside)","Harrow Road, Prince of Wales (outside)",['Miss Isabel Seymour'],,,"April 28, 1911"
"Friday, April 28","Islington, Highbury Corner","Islington, Highbury Corner",['Miss Feek'],,,"April 28, 1911"
"Friday, April 28","Lavender Hill, Mysore Road, opposite Town Hall","Lavender Hill, Mysore Road, opposite Town Hall","['Miss Heatley', 'Chair: Mrs. Barbell']",,,"April 28, 1911"
"Friday, April 28","Lewisham, Catford Tram Terminus","Lewisham, Catford Tram Terminus","['Mrs. Bouvier', 'and others']",,,"April 28, 1911"
"Friday, April 28","Palmer's Green, Avondale Hall","Palmer's Green, Avondale Hall","['Hon. Mrs. Haverfield', 'Mrs. Lorsignol.', 'Chair: Miss Hilda Gargett']",,,"April 28, 1911"
"Friday, April 28","Tufnell Park, Boston, Tube Station","Tufnell Park, Boston, Tube Station",,,,"April 28, 1911"
"Friday, April 28","Hitchin, New Town Hall","Hitchin, New Town Hall","['Miss Vida Goldstein', 'Lord Robert Cecil']",,,"April 28, 1911"
"Friday, April 28","Newcastle, 77, Blackett Street","77, Blackett Street",['Miss Annie Williams'],Meeting for Teachers,,"April 28, 1911"
"Friday, April 28","York, Festival Concert Rooms",Festival Concert Rooms,['Mrs. Pankhurst'],,,"April 28, 1911"
