Date,Location,Raw,Speakers,Description,Hosts,Issue date
JANUARY 24,Scarborough - Office,Scarborough - Office - Miss Helen Fraser,['Miss Helen Fraser'],,,"JANUARY 24 , 1913"
JANUARY 24,Scarborough - Roscoe Rooms,Scarborough - Roscoe Rooms - Miss Helen Fraser,['Miss Helen Fraser'],,,"JANUARY 24 , 1913"
JANUARY 24,Rayleigh Bellingham Hall,"Rayleigh Bellingham Hall - Miss Crosfield , Miss Waring , B.A. - Chair , Mrs. Butcher","['Miss Crosfield', 'Miss Waring, B.A.']",,,"JANUARY 24 , 1913"
JANUARY 24,Southborough - Victoria Hall,"Southborough - Victoria Hall - Debate , Miss Gladys Pott , Mrs. Corbett Ashby","['Miss Gladys Pott', 'Mrs. Corbett Ashby']",Debate,,"JANUARY 24 , 1913"
JANUARY 24,Burnham - Town Hall,"Burnham - Town Hall -- Public meeting - Mr . Baillie Weaver . Chair , Dr. Clifford",['Mr. Baillie Weaver'],Public meeting,,"JANUARY 24 , 1913"
JANUARY 24,"Eccles - Congregational Schoolroom, Particroft","Eccles - Congregational Schoolroom , Particroft - Mr . F. Hewick ( Wilmslow ) , Mrs. Earp ( Rotherham ) . Chair , Councillor Thomas Grindle , J.P.","['Mr. F. Hewick', 'Mrs. Earp']",,,"JANUARY 24 , 1913"
JANUARY 24,Guisborough,"Guisborough Public meeting - Miss Helen Fraser , Miss Dutton","['Miss Helen Fraser', 'Miss Dutton']",Public meeting,,"JANUARY 24 , 1913"
JANUARY 24,"Wrexham - Central Hall, Hill Street","Wrexham - Fublic meeting - Central Hall , Hill Street -Miss Muriel Matters . Chair , Miss E. Rathbone",['Miss Muriel Matters'],Public meeting,,"JANUARY 24 , 1913"
JANUARY 24,"Carlisle - Suffrage Shop, 88, English Street","Carlisle - Suffrage Shop , 88 , English Street - Lantern Lecture ( up till January 30 )",,Lantern Lecture,,"JANUARY 24 , 1913"
JANUARY 25,Littlehampton,Littlehampton Drawing - room meeting,,Drawing-room meeting,,"JANUARY 24 , 1913"
JANUARY 25,"Ripon ""Skelfield"" House, Norfolk Road","Ripon Drawing - room meeting "" Skelfield "" -Miss House , Norfolk Chair , Wright . Bertrand Russell",,Drawing-room meeting,,"JANUARY 24 , 1913"
JANUARY 25,Easingwold Town Hall,"Easigwold Town Hall - Chair , Mrs. K. E. T. Wilkinson - Miss Helen Fraser",['Miss Helen Fraser'],,,"JANUARY 24 , 1913"
