Date,Location,Raw,Speakers,Description,Hosts,Issue date
"Friday, May 1","Putney, Werter Road","Putney , Werter Road . Miss Coombs ... 8 p.m.",['Miss Coombs'],,,"May 1 , 1914"
"Friday, May 1","N. Kensington, corner of Blenheim Crescent, Portobello Road","N. Kensington , corner of Blenheim Crescent , Portobello Road . Miss Palmer . Chair : Miss Chave . ... 6 p.m.","['Miss Palmer', 'Miss Chave']",,,"May 1 , 1914"
"Friday, May 1","Balham, Caistor Road","Balham , Caistor Road . Miss Ennis ... 7 p.m.",['Miss Ennis'],,,"May 1 , 1914"
"Friday, May 1","Chelsea, 308, King's Road","Chelsea , 308 , King's Road . Speakers ' Class . Miss Ada Moore ... 8 p.m.",['Miss Ada Moore'],,,"May 1 , 1914"
"Friday, May 1","Chiswick, Duke Road","Chiswick , Duke Road . Miss Greer ... 8 p.m.",['Miss Greer'],,,"May 1 , 1914"
"Friday, May 1","Croydon, Katherine Street","Croydon , Katherine Street . Miss D. Gibbs ... 8 p.m.",['Miss D. Gibbs'],,,"May 1 , 1914"
"Friday, May 1","Ealing, opposite Ye Olde Hatte","Ealing , opposite Ye Olde Hatte . Mrs. Nora Thomson ... 8 p.m.",['Mrs. Nora Thomson'],,,"May 1 , 1914"
"Friday, May 1","Harringay. Constitutional Hall, Green Lanes","Harringay . Constitutional Hall , Green Lanes . Mrs. Drum- mond . Chair : Mies Bonwick , B.A. ... 8 p.m.","['Mrs. Drummond', 'Mies Bonwick']",,,"May 1 , 1914"
"Friday, May 1","Kentish Town, Leighton Road","Kentish Town , Leighton Road . Miss Emma Wylie ... 8 p.m.",['Miss Emma Wylie'],,,"May 1 , 1914"
"Friday, May 1","Lincoln's Inn House, Kingsway","Lincoln's Inn House , Kingsway . Speakers ' Class . Miss Rosa Leo ... 7.45 p.m.",['Miss Rosa Leo'],,,"May 1 , 1914"
