Date,Location,Raw,Speakers,Description,Hosts,Issue date
November 30,Chiswick,"Chiswick, Duke's - road. Miss Shoults",['Miss Shoults'],,,"November 29 , 1912"
November 30,Hammersmith,"Hammersmith, Avenue Chapel, Avenue - road, Goldhawk - road. Mrs. J. Brindley Meakin",['Mrs. J. Brindley Meakin'],,,"November 29 , 1912"
November 30,Harlesden,"Harlesden, Manor Park. Miss M. Wright",['Miss M. Wright'],,,"November 29 , 1912"
November 30,Holloway - road,"Holloway - road, outside Jones Bros. Miss M. Barry , 8 p.m.",['Miss M. Barry'],,,"November 29 , 1912"
November 30,Ilford,"Ilford, Balfour - road. Miss Haslam",['Miss Haslam'],,,"November 29 , 1912"
November 30,Kilburn,"Kilburn, Messina - avenue",[],,,"November 29 , 1912"
November 30,Kingston,"Kingston, Church - street. Mrs. Drummond",['Mrs. Drummond'],,,"November 29 , 1912"
November 30,Palmer's Green,"Palmer's Green, Alderman's - hill. Miss G. Richard",['Miss G. Richard'],,,"November 29 , 1912"
November 30,Richmond,"Richmond, Heron - court. Miss Kelly",['Miss Kelly'],,,"November 29 , 1912"
November 30,Stratford,"Stratford, Maryland - point. Mrs. Bouvier",['Mrs. Bouvier'],,,"November 29 , 1912"
November 30,Streatham,"Streatham, Gleneldon - road, High - road. Mrs. Hughes",['Mrs. Hughes'],,,"November 29 , 1912"
November 30,Wimbledon Broadway,Wimbledon Broadway. Miss Maud Harvey,['Miss Maud Harvey'],,,"November 29 , 1912"
December 1,Hampstead Heath,Hampstead Heath. Flagstaff. Miss Marie Naylor,['Miss Marie Naylor'],,,"November 29 , 1912"
December 1,Hyde Park,"Hyde Park ( near Marble Arch ). M.P.U., Mr. Reginald Pott and others",['Mr. Reginald Pott'],,,"November 29 , 1912"
December 1,Wimbledon Common,Wimbledon Common. Miss M. Wright,['Miss M. Wright'],,,"November 29 , 1912"
December 2,Croydon,"Croydon, Small Public Hall. Miss Isabel Seymour",['Miss Isabel Seymour'],,,"November 29 , 1912"
December 2,Finchley,"Finchley, Granville Hall, Granville - road, Church End. Mrs. Drummond, Mr. Gerald Gould","['Mrs. Drummond', 'Mr. Gerald Gould']",,,"November 29 , 1912"
December 2,Harlesden,"Harlesden, I.L.P. Club, 137, High - street. Mrs. Penn Gaskell",['Mrs. Penn Gaskell'],,,"November 29 , 1912"
December 2,Kensal Rise,"Harvist - road Schools, Kensal Rise",[],,,"November 29 , 1912"
December 2,London Pavilion,"London Pavilion, Piccadilly Circus, W. Mrs. Pankhurst, The Lady Isabel Hampden Margesson, Miss Annie Kenney","['Mrs. Pankhurst', 'The Lady Isabel Hampden Margesson', 'Miss Annie Kenney']",,,"November 29 , 1912"
December 3,New Barnet,"New Barnet, Plantagenet Hall. Miss Elsa Myers",['Miss Elsa Myers'],,,"November 29 , 1912"
December 3,Palmer's Green,"Palmer's Green, St. John's Hall. Lantern Lecture. Miss Nancy Lightman",['Miss Nancy Lightman'],Lantern Lecture,,"November 29 , 1912"
December 3,Southfields,Southfields. Miss Kelly,['Miss Kelly'],,,"November 29 , 1912"
December 4,Ilford,"Ilford, Barking, Old Town Hall. Miss Haslam",['Miss Haslam'],,,"November 29 , 1912"
December 4,Lewisham,"Lewisham, 1, Miss C. Campbelgrove. Mrs. Shaw",['Mrs. Shaw'],,,"November 29 , 1912"
December 4,Pinner,"Pinner, Cocoa Tree. Mr. C. Mansell - Moullin, F.R.C.S.","['Mr. C. Mansell - Moullin, F.R.C.S.']",,,"November 29 , 1912"
December 4,Wimbledon,"Wimbledon, Lecture Hall, Lingfield - road. Mr. Gerald Gould, Mrs. A. J. Webbe","['Mr. Gerald Gould', 'Mrs. A. J. Webbe']",,,"November 29 , 1912"
