Date,Location,Raw,Speakers,Description,Hosts,Issue date
May 24,"Parkestone , Church House","Parkestone , Church House , Miss Helen Ogston , B.Sc. , 3 p.m.","['Miss Helen Ogston, B.Sc.']",,,"May 20 , 1910"
May 24,"Boscombe , Assem- Lly Rooms","Boscombe , Assem- Lly Rooms , Miss Helen Ogston , B.Sc. , 8 p.m.","['Miss Helen Ogston, B.Sc.']",,,"May 20 , 1910"
May 26,"Ramsgate , 2 , York Terrace","Ramsgate , 2 , York Terrace , At Home , Miss Macaulay , 3.30 p.m.",['Miss Macaulay'],At Home,,"May 20 , 1910"
July 1,"Royal Victoria Pavilion , Ramsgate","Ramsgate , on Friday , July 1 , 8 p.m.",['Miss Christabel Pankhurst'],,,"May 20 , 1910"
June 1,Palmer Hall,Palmer Hall on June 1,"['Mrs. Mansel', 'Mr. Laurence Housman']",,,"May 20 , 1910"
May 21,Stourbridge,"Stourbridge , Drawing Room Meet- ing , Mrs. Davis , Hostess ; Miss Smith , 3 p.m.",['Miss Smith'],Drawing Room Meeting,['Mrs. Davis'],"May 20 , 1910"
May 23,"Soho Road , and Whitehall Road","Soho Road , and Whitehall Road , Miss Burkitt , 7 p.m.",['Miss Burkitt'],,,"May 20 , 1910"
May 23,"Stratford Place , Camp Hill","Stratford Place , Camp Hill , Miss Edith Dale , 7 p.m.",['Miss Edith Dale'],,,"May 20 , 1910"
May 24,Queen's College,"Queen's College , At Home , Miss Isabel Seymour , Miss D. Evans , 7.30 p.m.","['Miss Isabel Seymour', 'Miss D. Evans']",At Home,,"May 20 , 1910"
May 24,Spark- brook,"Spark- brook , Drawing Room Meeting , Miss Isabel Seymour , Miss II . Burkitt .","['Miss Isabel Seymour', 'Miss H. Burkitt']",Drawing Room Meeting,,"May 20 , 1910"
May 25,Bristol Street,"Bristol Street , Dr. Helena Jones , 7.30 p.m.",['Dr. Helena Jones'],,,"May 20 , 1910"
May 25,King Edwards Road,"King Edwards Road , Miss II . Burkitt , Mrs. Ball , 7 p.m.","['Miss H. Burkitt', 'Mrs. Ball']",,,"May 20 , 1910"
May 26,Plough and Harrow Road,"Plough and Harrow Road , Miss Evans , Mrs. Davis , 7 p.m.","['Miss Evans', 'Mrs. Davis']",,,"May 20 , 1910"
May 26,Saltley,"Saltley , Miss East- gate , Miss H. Burkitt , 7 p.m.","['Miss Eastgate', 'Miss H. Burkitt']",,,"May 20 , 1910"
May 27,Bull Ring,"Bull Ring . Dr. Helena Jones , Miss H. Walker , 7 p.m.","['Dr. Helena Jones', 'Miss H. Walker']",,,"May 20 , 1910"
May 27,"Small Heath , Green Lane","Small Heath , Green Lane , Mrs. Bessie Smith , 7 p.m.",['Mrs. Bessie Smith'],,,"May 20 , 1910"
May 26,Poole Meadow,"Poole Meadow , Miss Edith Dale , 7.30 p.m.",['Miss Edith Dale'],,,"May 20 , 1910"
May 25,Quarndon,"Quarndon , Miss Hooper , Miss Walker .","['Miss Hooper', 'Miss Walker']",,,"May 20 , 1910"
June 1,Borrowash,Borrowash . Speakers : Miss Hooper and Miss Walker .,"['Miss Hooper', 'Miss Walker']",,,"May 20 , 1910"
May 25,Obelisk,"Obelisk , Miss Dawson , Miss Cripps , 7.30 p.m.","['Miss Dawson', 'Miss Cripps']",,,"May 20 , 1910"
May 26,Old Town Hall,"Old Town Hall , 4 to 6 p.m.",['Dr. Pemberton Peake'],At Home,,"May 20 , 1910"
June 1,Loughborough,Loughborough and Leicester At Homes .,['Mrs. Brailsford'],At Home,,"May 20 , 1910"
June 2,Leicester,Loughborough and Leicester At Homes .,['Mrs. Brailsford'],At Home,,"May 20 , 1910"
June 1,Old Town Hall,Old Town Hall at 8 p.m.,['Mrs. Brailsford'],,,"May 20 , 1910"
May 23,Durdham Down,Durdham Down at 3.30 .,,Open Air,,"May 20 , 1910"
May 26,"Savoy Hotel , Palm Court","Palm Court , Savoy Hotel , At Home , 3.30 p.m.",,At Home,,"May 20 , 1910"
May 25,All Saints ' Parish Room,"All Saints ' Parish Room , At Home , 3 p.m.",,At Home,,"May 20 , 1910"
May 21,"77 , Blackett Street","77 , Blackett Street , Miss Williams , 3 to 5 p.m.",['Miss Williams'],,,"May 20 , 1910"
May 24,Tynemouth,"Tynemouth . Drawing - room Meet- ing , Mrs. Taylor , Miss Williams , 3 p.m .; Hostess : Mrs. Ball .",['Miss Williams'],Drawing Room Meeting,"['Mrs. Taylor', 'Mrs. Ball']","May 20 , 1910"
May 25,"77 , Blackett Street","77 , Blackett Street , At Home , Miss Williams , 3 to 5 and 7.30 p.m.",['Miss Williams'],At Home,,"May 20 , 1910"
May 26,"Seaton Delaval , Miners ' Hall","Seaton Delaval , Miners ' Hall , Mrs. Atkinson , Miss Williams , 7 p.m.","['Mrs. Atkinson', 'Miss Williams']",,,"May 20 , 1910"
May 27,"77, Blackett Street","Speakers ' Class , Debate , 7.30 p.m.",,"Speakers Class, Debate",,"May 20 , 1910"
May 23,"Neighbor , Guild Settlement","Neighbor , Guild Settlement , Miss Wrigley . 3 p.m.",['Miss Wrigley'],,,"May 20 , 1910"
May 24,"Pitsmoor , Vestry Hall","Pitsmoor , Vestry Hall , Open Air Meeting .",,Open Air Meeting,,"May 20 , 1910"
May 25,"Walkley , Tram Terminus","Walkley , Tram Terminus , Open Air Meeting .",,Open Air Meeting,,"May 20 , 1910"
May 26,Sheffield,"Postponed At Home , Miss Wood- lock , Miss A. Pankhurst , Mrs. Rollo .","['Miss Woodlock', 'Miss A. Pankhurst', 'Mrs. Rollo']",Postponed At Home,,"May 20 , 1910"
June 1,"Onward Hall , Manchester","Onward Hall will be on the afternoon of Wednesday , June 1 , 3 to 5 p.m.",['Mrs. Pankhurst'],Reception,,"May 20 , 1910"
