Date,Location,Raw,Description,Speakers,Hosts,Issue date
AUGUST 1,Norwich,Norwich - Miss E. L. Willis's garden meeting for servants - Dr . Mary Bell,Miss E. L. Willis's garden meeting for servants,['Dr. Mary Bell'],,"AUGUST 1 , 1912"
AUGUST 1,Caerphilly,"Caerphilly - open - air meeting - Mrs . Williams , Miss Davies , Miss Waring , B.A.",open - air meeting,"['Mrs. Williams', 'Miss Davies', 'Miss Waring, B.A.']",,"AUGUST 1 , 1912"
AUGUST 2,Newmarket,"Newmarket - The Rectory garden meeting - Mrs . Kellett , Mrs. Rackham",The Rectory garden meeting,"['Mrs. Kellett', 'Mrs. Rackham']",,"AUGUST 1 , 1912"
AUGUST 3,Woking,"Woking - in front of Council Offices - open - air meet- ing Mr. Walter Hogg , Mr. H. Rolles- ton Stables , Mr. W. R. Skeet , J.P.",in front of Council Offices - open - air meeting,"['Mr. Walter Hogg', 'Mr. H. Rolleston Stables', 'Mr. W. R. Skeet, J.P.']",,"AUGUST 1 , 1912"
AUGUST 8,Brasted,"Brasted - garden meeting - hostess , Mrs. Hyland ; speaker , Miss L. M. Portlock",garden meeting,['Miss L. M. Portlock'],['Mrs. Hyland'],"AUGUST 1 , 1912"
AUGUST 10,Woking,Woking - in front of Council Offices - open - air meet- ing - Dr . C. V. Drysdale,in front of Council Offices - open - air meeting,['Dr. C. V. Drysdale'],,"AUGUST 1 , 1912"
AUGUST 12,Woodside Village,Woodside Village - open - air meeting - Miss Sylvia Clark,open - air meeting,['Miss Sylvia Clark'],,"AUGUST 1 , 1912"
AUGUST 12,Pennington Common,Pennington Common - open - air meeting - Miss Sylvia Clark,open - air meeting,['Miss Sylvia Clark'],,"AUGUST 1 , 1912"
AUGUST 13,Milford Green,Milford Green - open - air meeting - Miss Sylvia Clark,open - air meeting,['Miss Sylvia Clark'],,"AUGUST 1 , 1912"
AUGUST 14,Huddersfield,"Huddersfield- Honley House annual meeting- hostess , Miss Siddon ; speaker , Miss Margaret Robertson , B.A.",Honley House annual meeting,"['Miss Margaret Robertson, B.A.']",['Miss Siddon'],"AUGUST 1 , 1912"
AUGUST 14,Brockenhurst,Brockenhurst - open - air meeting - Miss Sylvia Clark,open - air meeting,['Miss Sylvia Clark'],,"AUGUST 1 , 1912"
AUGUST 15,Lymington,Lymington - High Street -- open - air meeting - Miss Sylvia Clark,High Street - open - air meeting,['Miss Sylvia Clark'],,"AUGUST 1 , 1912"
AUGUST 16,Pilly Green,Pilly Green - open - air meeting - Miss Sylvia Clark,open - air meeting,['Miss Sylvia Clark'],,"AUGUST 1 , 1912"
AUGUST 17,Sway,Sway - open - air meeting - Miss Sylvia Clark,open - air meeting,['Miss Sylvia Clark'],,"AUGUST 1 , 1912"
