Date,Location,Raw,Speakers,Description,Issue date
"Friday , November 7","Bow, Ford Road","Bow , Ford Road LONDON . Friday , November 7 . Miss Palmer . Chair : Miss Greer","['Miss Palmer', 'Miss Greer (Chair)']",,"November 7 , 1913"
"Friday , November 7","Balham, Caistor Road","Balham , Caistor Road . Miss Daisy Gibbs",['Miss Daisy Gibbs'],,"November 7 , 1913"
"Friday , November 7","Chiswick, Duke Road","Chiswick , Duke Road .",[],,"November 7 , 1913"
"Friday , November 7","Cricklewood, Clock Tower","Cricklewood , Clock Tower . Miss Short , Miss Hutchinson","['Miss Short', 'Miss Hutchinson']",,"November 7 , 1913"
"Friday , November 7","Fulham, Munster Road","Fulham , Munster Road . Miss M. Wright",['Miss M. Wright'],,"November 7 , 1913"
"Friday , November 7","Golder's Green, Promenade, Hodford Road","Golder's Green , Promenade , Hodford Road .",[],,"November 7 , 1913"
"Friday , November 7","Kingston, Fife Hall","Kingston , Fife Hall . Chair : Mrs. Oxenford Miss Burton","['Miss Burton', 'Mrs. Oxenford (Chair)']",,"November 7 , 1913"
"Friday , November 7","Lincoln's Inn House, Kingsway","Lincoln's Inn House , Kingsway . Speakers ' Class . Miss Rosa Leo",['Miss Rosa Leo'],,"November 7 , 1913"
"Friday , November 7","North Kensington, Blenheim Crescent and Portobello Road","North Kensington , Blenheim Crescent and Portobello Road . Mrs. Theresa Gough . Chair : Miss Palmer","['Mrs. Theresa Gough', 'Miss Palmer (Chair)']",,"November 7 , 1913"
"Friday , November 7","Poplar, Manchester Road and East Ferry Road","Poplar , Manchester Road and East Ferry Road",[],,"November 7 , 1913"
"Friday , November 7","Poplar, Ordnance Road","Poplar , Ordnance Road",[],,"November 7 , 1913"
"Friday , November 7",Sloane Square,Sloane Square . Mrs. Temple Bird . Chair : Miss Medwin,"['Mrs. Temple Bird', 'Miss Medwin (Chair)']",,"November 7 , 1913"
"Friday , November 7","Upper Holloway, Elthorne Road","Upper Holloway , Elthorne Road . Miss Croxson , Miss Mann","['Miss Croxson', 'Miss Mann']",,"November 7 , 1913"
"Friday , November 7","West Ham, The Grove, Stratford","West Ham , The Grove , Stratford . Miss N. Lightman , Miss Brice","['Miss N. Lightman', 'Miss Brice']",,"November 7 , 1913"
"Friday , November 7","Wimbledon, Queen's Hall","Wimbledon , Queen's Hall . Miss Evelyn Sharp , Lieutenant J. L. Cather , R.N. Chair : Mrs. Boulton","['Miss Evelyn Sharp', 'Lieutenant J. L. Cather, R.N.', 'Mrs. Boulton (Chair)']",,"November 7 , 1913"
"Saturday , November 8","Battersea, Strath Terrace","Battersea , Strath Terrace . Miss A. Jacobs",['Miss A. Jacobs'],,"November 7 , 1913"
"Saturday , November 8",Chelsea,Chelsea . Miss Haig . Chair : Miss Fedden,"['Miss Haig', 'Miss Fedden (Chair)']",,"November 7 , 1913"
"Saturday , November 8","Finchley, Church End, opposite G.N.R. Station","Finchley , Church End , opposite G.N. R. Station . Miss M. Wright",['Miss M. Wright'],,"November 7 , 1913"
"Saturday , November 8","Highgate, High Street and Southwood Lane","Highgate , High Street and Southwood Lane . Mrs. Laski",['Mrs. Laski'],,"November 7 , 1913"
"Saturday , November 8","Holloway Road, Jones Bros.","Holloway Road , Jones Bros. Miss Richmond , Miss Kirby","['Miss Richmond', 'Miss Kirby']",,"November 7 , 1913"
"Saturday , November 8","Ilford, Balfour Road","Ilford , Balfour Road .",[],,"November 7 , 1913"
"Saturday , November 8","Kingston, Church Street","Kingston , Church Street . Miss Elsa Myers",['Miss Elsa Myers'],,"November 7 , 1913"
"Saturday , November 8","Kingston, Coronation Stone","Kingston , Coronation Stone . Miss Glidewell",['Miss Glidewell'],,"November 7 , 1913"
"Saturday , November 8","Muswell Hill, Queen's Avenue","Muswell Hill , Queen's Avenue . Miss Bonwick , B.A.","['Miss Bonwick, B.A.']",,"November 7 , 1913"
"Saturday , November 8","Palmer's Green, Alderman's Hill","Palmer's Green , Alderman's Hill",[],,"November 7 , 1913"
"Saturday , November 8","South Wimbledon, Brondway","South Wimbledon , Brondway . Mrs. Bouvier",['Mrs. Bouvier'],,"November 7 , 1913"
"Saturday , November 8","Walthamstow, Tower Corner, Hoe Street","Walthamstow , Tower Corner , Hoe Street . Mrs. Davies . Chair : Mrs. Gladman","['Mrs. Davies', 'Mrs. Gladman (Chair)']",,"November 7 , 1913"
"Saturday , November 8","Wandsworth, outside Council House","Wandsworth , outside Council House . Miss A. Wright . Chair : Mrs. Chapman","['Miss A. Wright', 'Mrs. Chapman (Chair)']",,"November 7 , 1913"
"Saturday , November 8","West Ham, Forest Gate Station","West Ham , Forest Gate Station",[],,"November 7 , 1913"
"Saturday , November 8","Westminster, Tachbrook Street","Westminster , Tachbrook Street . Miss Meakin",['Miss Meakin'],,"November 7 , 1913"
"Sunday , November 9",Clapham Common,Clapham Common . Miss A. Kelly . Chair : Miss D. Smith,"['Miss A. Kelly', 'Miss D. Smith (Chair)']",,"November 7 , 1913"
"Sunday , November 9","Hampstead Heath, Flagstaff","Hampstead Heath , Flagstaff . Miss N. Lightman , Miss K. Pepper","['Miss N. Lightman', 'Miss K. Pepper']",,"November 7 , 1913"
"Sunday , November 9","Lewisham, Market Place","Lewisham , Market Place . Miss It . M. Townsend",['Miss R.M. Townsend'],,"November 7 , 1913"
