Date,Location,Raw,Speakers,Description,Hosts,Issue date
NOVEMBER 8,"Workington - Lister's Hall, Finkle Street","Workington - Lister's Hall , Finkle Street - Miss Norma - Smith , Mrs. F. E. Marshall , of Keswick ( chair )","['Miss Norma-Smith', 'Mrs. F. E. Marshall of Keswick ']",,,"NOVEMBER 8 , 1912"
NOVEMBER 8,Stourbridge - Y.M.C.A. Rooms. High Street,"Stourbridge - Y.M.C.A . Rooms . High Street - Invita- tion meeting - H.H . The Ranee of Sarawak , Miss Cicely Corbett , B.A. Mr. H. Baillie Weaver ( chair )","['H.H. The Ranee of Sarawak', 'Miss Cicely Corbett, B.A.', 'Mr. H. Baillie Weaver']",Invitation meeting,,"NOVEMBER 8 , 1912"
NOVEMBER 8,Stafford - Oddfellow's Hall,"Stafford - Oddfellow's Hall - Public meeting - Miss Cicely Corbett , B.A. , Mr. H. Baillie Weaver - H . J. Bostock , Esq . ( chair )","['Miss Cicely Corbett, B.A.', 'Mr. H. Baillie Weaver', 'H. J. Bostock, Esq.']",Public meeting,,"NOVEMBER 8 , 1912"
NOVEMBER 8,Brighton - The Dome,"Brighton - The Dome - Mass meeting - Miss Abadam , the Earl of Lytton , Mr. G. Lansbury , M.P. , Mr. Harold Stoner , Mr. A. O. Jennings ( chair )","['Miss Abadam', 'The Earl of Lytton', 'Mr. G. Lansbury, M.P.', 'Mr. Harold Stoner', 'Mr. A. O. Jennings']",Mass meeting,,"NOVEMBER 8 , 1912"
NOVEMBER 8,Bristol Coliseum Suffrage Stall,"Bristol Coliseum Suffrage Stall - Miss Baker , Miss Stock","['Miss Baker', 'Miss Stock']",,,"NOVEMBER 8 , 1912"
NOVEMBER 8,"Bristol - 2, Park Avenue, Victoria Park","Bristol - 2 , Park Avenue , Victoria Park - Mrs . W. C. H. Cross , Miss Chate","['Mrs. W. C. H. Cross', 'Miss Chate']",,,"NOVEMBER 8 , 1912"
NOVEMBER 8,Berkhamsted - Progress Hall,"Berkhamsted - Progress Hall - Mrs . Nott Bower on "" Women's Work in Local Govern- ment """,['Mrs. Nott Bower'],,,"NOVEMBER 8 , 1912"
NOVEMBER 8,Abergwynfi,Abergwynfi - Miss L. F. Waring,['Miss L. F. Waring'],,,"NOVEMBER 8 , 1912"
NOVEMBER 9,Bristol Coliseum - Suffrage Stall,"Bristol Coliseum - Suffrage Stall - Miss Tanner , Mrs. W. O. H. Cross","['Miss Tanner', 'Mrs. W. O. H. Cross']",,,"NOVEMBER 8 , 1912"
NOVEMBER 9,Farmers,Farmers - Miss L. F. Waring .,['Miss L. F. Waring'],,,"NOVEMBER 8 , 1912"
NOVEMBER 11,Glastonbury,Glastonbury - Public meeting - Mr . Laurence Hous- man,['Mr. Laurence Housman'],Public meeting,,"NOVEMBER 8 , 1912"
NOVEMBER 11,Norwich - Thatched Assembly Rooms,Norwich - Thatched Assembly Rooms - Lantern lecture on G. F. Watts - Miss Helen Colman funds ( for of Eastern Counties Federation ),['Miss Helen Colman'],Lantern lecture on G.F. Watts,,"NOVEMBER 8 , 1912"
NOVEMBER 11,"Bristol - Speakers' Class - 111a, White Ladies Road","Bristol - Speakers ' Class - 111a , White Ladies Road - Leader , Mrs. Randall Vickers","['Leader', 'Mrs. Randall Vickers']",,,"NOVEMBER 8 , 1912"
NOVEMBER 11,West Cambs - Willingham Schoolroom,"West Cambs - Willingham Schoolroom - Mrs . Rack- ham , Mrs. Rootham , Mrs. Peck","['Mrs. Rackham', 'Mrs. Rootham', 'Mrs. Peck']",,,"NOVEMBER 8 , 1912"
NOVEMBER 11,"Tunbridge Wells - 18, Crescent Road","Tunbridge Wells - 18 , Crescent Road - Working party for London Society's bazaar ( and every Monday )",,Working party for London Society's bazaar (and every Monday),,"NOVEMBER 8 , 1912"
NOVEMBER 11,Cheltenham Town Hall,"Cheltenham Town Hall - Miss J. M. Baretti , The Dean of Worcester ( chair )","['Miss J.M. Baretti', 'The Dean of Worcester']",,,"NOVEMBER 8 , 1912"
NOVEMBER 11,Hulme York Street Temperance Hall,Hulme York Street Temperance Hall - Fortnightly meeting of Hulme Suffrage Associa- tion - Mrs . Hiller,['Mrs. Hiller'],Fortnightly meeting of Hulme Suffrage Association,,"NOVEMBER 8 , 1912"
NOVEMBER 11,Kidwelly,Kidwelly Miss L. F. Waring,['Miss L. F. Waring'],,,"NOVEMBER 8 , 1912"
NOVEMBER 11,Maryport - Co-operative Hall,"Maryport - Co - operative Hall - Miss Norma Smith- F. Marshall , Esq . ( chair )","['Miss Norma Smith', 'F. Marshall, Esq.']",,,"NOVEMBER 8 , 1912"
NOVEMBER 12,Consett - Miss Trotter's Drawing-room,Consett - Miss Trotter's Drawing - room meeting- Miss Frances Sterling,['Miss Frances Sterling'],,,"NOVEMBER 8 , 1912"
NOVEMBER 12,Consett - Co-operative Hall,Consett - Co - operative Hall - Miss F. Sterling,['Miss F. Sterling'],,,"NOVEMBER 8 , 1912"
NOVEMBER 12,Wilmslow - Drill Hall,"Wilmslow - Drill Hall - Miss Alison Garland , Rev. W. E. Ireland , M.A. , Mr. Forest . Hewit ( chair )","['Miss Alison Garland', 'Rev. W.E. Ireland, M.A.', 'Mr. Forest Hewit']",,,"NOVEMBER 8 , 1912"
NOVEMBER 12,Leeds Belgrave Central Hall,Leeds Belgrave Central Hall - Councillor Margaret Ashton and others,"['Councillor Margaret Ashton', 'others']",,,"NOVEMBER 8 , 1912"
NOVEMBER 12,Prescot Assembly Hall,"Prescot Assembly Hall - Miss Eleanor Rathbone , Rev. E. Baghley ( chair )","['Miss Eleanor Rathbone', 'Rev. E. Baghley']",,,"NOVEMBER 8 , 1912"
NOVEMBER 13,Huddersfield - Mayor's Parlour,"Huddersfield - Mayor's Parlour - Mrs . F. T. Swan- wick , M.A.","['Mrs. F.T. Swanwick, M.A.']",,,"NOVEMBER 8 , 1912"
NOVEMBER 13,East Bristol - 1. Barrow Road,East Bristol - 1 . Barrow Road - Miss Margaret Robinson,['Miss Margaret Robinson'],,,"NOVEMBER 8 , 1912"
NOVEMBER 13,South Wokingham - Town Hall,"South Wokingham - Town Hall - Lady Frances Balfour , Mr. Mirrlees , B.Sc. - Mrs . Robie Uniacke ( chair )","['Lady Frances Balfour', 'Mr. Mirrlees, B.Sc.', 'Mrs. Robie Uniacke']",,,"NOVEMBER 8 , 1912"
NOVEMBER 13,Sunderland - Drawing-room meeting,Sunderland - Drawing - room meeting - Miss Frances Sterling,['Miss Frances Sterling'],,,"NOVEMBER 8 , 1912"
NOVEMBER 13,"Newcastle - 3, Osborne Terrace","Newcastle - 3 , Osborne Terrace - Dr . Ethel Williams Miss Frances Sterling","['Dr. Ethel Williams', 'Miss Frances Sterling']",,,"NOVEMBER 8 , 1912"
NOVEMBER 13,Poulton-le-Fylde - Sheaf Street School,Poulton - le - Fylde - Sheaf Street School - Miss Eleanor Rathbone,['Miss Eleanor Rathbone'],,,"NOVEMBER 8 , 1912"
NOVEMBER 13,Radcliffe Co-operative Hall,"Radcliffe Co - operative Hall - Miss Alison Garland , Councillor Margaret Ashton ( chair )","['Miss Alison Garland', 'Councillor Margaret Ashton']",,,"NOVEMBER 8 , 1912"
NOVEMBER 13,Weston-super-Mare - Town Hall,"Weston - super - Mare - Public Meeting , Town Hall- Miss Helen Fraser",['Miss Helen Fraser'],Public Meeting,,"NOVEMBER 8 , 1912"
NOVEMBER 13,Kilmacolm. Public Halls,"Kilmacolm . Cake and candy sale , Public Halls- Miss Foggo",['Miss Foggo'],Cake and candy sale,,"NOVEMBER 8 , 1912"
