Date,Location,Raw,Speakers,Description,Issue date
SEPTEMBER 7,Stocksfield-on-Tyne,Stocksfield - on - Tyne - Mrs . Waldie Howson .,['Mrs . Waldie Howson'],,"SEPTEMBER 7 , 1911"
SEPTEMBER 7,Plymouth Chambers,Plymouth Chambers - Miss Hatty Baker .,['Miss Hatty Baker'],,"SEPTEMBER 7 , 1911"
SEPTEMBER 8,Cairn's Meeting,Cairn's Meeting - Mrs . 3.0,,,"SEPTEMBER 7 , 1911"
SEPTEMBER 8,Sutton Coldfield - Miss Earl's Meeting,Sutton Coldfield - Miss Earl's Meeting - Miss A. D. Matthews . 3.30,['Miss A. D. Matthews'],,"SEPTEMBER 7 , 1911"
SEPTEMBER 9,Sunderland - West Park,Sunderland - West Park - United Demonstration in Support of Conciliation Bill . 3.15,,United Demonstration in Support of Conciliation Bill,"SEPTEMBER 7 , 1911"
SEPTEMBER 13,"Bristol - St . Ulrich, Downs Park West","Bristol - St . Ulrich , Downs Park West - Working Party .",,Working Party,"SEPTEMBER 7 , 1911"
SEPTEMBER 13,Farnham - Badshot Lea - Men's Club,"Farnham - Badshot Lea - Men's Club - Malcolm Mitchell , Esq . , C. Weatherby , Esq . ( chair ) . 8.0","['Malcolm Mitchell', 'Esq .', 'C. Weatherby', 'Esq . ']",,"SEPTEMBER 7 , 1911"
SEPTEMBER 16,Manchester Stevenson Square,Manchester Stevenson Square - Open - air Demonstration . 4.0,,Open-air Demonstration,"SEPTEMBER 7 , 1911"
SEPTEMBER 18,"Manchester Federation - Barnes Green, Moston","Manchester Federation - Barnes Green , Moston - Miss M. Robertson .",['Miss M. Robertson'],,"SEPTEMBER 7 , 1911"
SEPTEMBER 18,Llangollen The Pavilion,Llangollen The Pavilion - Miss Rathbone . 8.30,['Miss Rathbone'],,"SEPTEMBER 7 , 1911"
SEPTEMBER 20,"Manchester Federation - Holy Trinity Schools, Moston","Manchester Federation - Holy Trinity Schools , Moston - Miss M. Robertson . 8.0",['Miss M. Robertson'],,"SEPTEMBER 7 , 1911"
SEPTEMBER 20,"Bristol - 3, Berkeley Square","Bristol - 3 , Berkeley Square - Working Party . 3.0",,Working Party,"SEPTEMBER 7 , 1911"
SEPTEMBER 21,"Nottingham - Felixstowe, the Park","Nottingham - Felixstowe , the Park - Garden Fête and Sale- Mrs. Despard . 3.0",['Mrs. Despard'],,"SEPTEMBER 7 , 1911"
SEPTEMBER 25-29 (inclusive),Romiley and Bredbury,Romiley and Bredbury - Special Open - air Meetings - Mrs . Aldersley .,['Mrs . Aldersley'],,"SEPTEMBER 7 , 1911"
September 18,"Falkirk, Christian Institute Hall","September 18 : Falkirk , Christian Institute Hall , Dr. Elsie Inglis , Mrs. H. M. Ross ( chair ) . 6.0","['Dr. Elsie Inglis', 'Mrs. H. M. Ross']",,"SEPTEMBER 7 , 1911"
