Date,Location,Raw,Description,Speakers,Hosts,Issue date
MAY 16,"Bristol - 111A, White Ladies Road","Bristol - 111A , White Ladies Road - Federation Committee 10.30",Federation Committee,[],,"MAY 16 , 1913"
MAY 16,"Guildford - 1A, Mount Street","Guildford - 1A , Mount Street -Opening of Suffrage Shop by Miss Philippa Fawcett , 3.30",Opening of Suffrage Shop,['Miss Philippa Fawcett'],,"MAY 16 , 1913"
MAY 16,"Guildford - 1A, Mount Street","Guildford - 1A , Mount Street - Miss Philippa Fawcett 8.0",,['Miss Philippa Fawcett'],,"MAY 16 , 1913"
MAY 16,Redhill - Colman Institute,"Redhill - Colman Institute - Annual Meeting , Redhill , Reigate and District Branch - Miss Geraldine Cooke "" The Ethical Basis of the Demand for Women's Suffrage "" 7.30","Annual Meeting, Redhill, Reigate and District Branch, ""The Ethical Basis of the Demand for Women's Suffrage""",['Miss Geraldine Cooke'],,"MAY 16 , 1913"
MAY 16,Filey - The Grand Hotel,"Filey The Grand Hotel - Mr . Baillie Weaver - Miss I. O. Ford - Chair , Sir Luke White M.P. 8.0",,"['Mr. Baillie Weaver', 'Miss I. O. Ford']",,"MAY 16 , 1913"
MAY 16,Charmouth - Schoolroom,Charmouth - Schoolroom - Miss Helen Fraser . 7.30,,['Miss Helen Fraser'],,"MAY 16 , 1913"
MAY 16,"Bristol - 3, Hurlingham Road","Bristol - St . Andrew's Branch - Fortnightly Meeting Mrs. Worger ( 3 , Hurlingham Road ) 7.30",St. Andrew's Branch - Fortnightly Meeting,['Mrs. Worger'],,"MAY 16 , 1913"
MAY 16,"Gateshead - 23, Oxford Terrace",Gateshead 23. Oxford Terrace - Mrs. Biltcliffe and Miss Sheard . 3.0,,"['Mrs. Biltcliffe', 'Miss Sheard']",,"MAY 16 , 1913"
MAY 16,"Middlesbrough - Trinity Presbyterian Church, Lecture Hall","Middlesbrough Trinity Presbyterian Church , Lec- ture Hall - Mrs . Swanwick - Chair , Mr. Jas . Reid Abbott 8.0",,['Mrs. Swanwick'],,"MAY 16 , 1913"
MAY 17,Rishton (Accrington) - Spiritualists' Hall,Rishton ( Accrington ) -Spiritualists ' Hall - Meeting and Social . 7.0,Meeting and Social,,,"MAY 16 , 1913"
MAY 19,Bridport - Town Hall,Bridport Town Hall - Miss Helen Fraser 8.0,,['Miss Helen Fraser'],,"MAY 16 , 1913"
MAY 19,Ryhope,Ryhope Members ' Meeting - Miss Sheard 7.30,Members' Meeting,['Miss Sheard'],,"MAY 16 , 1913"
MAY 19,Salford - Garden Wall Street South,Salford Garden Wall Street South - Salford Suffrage Club 8.0,Salford Suffrage Club,,,"MAY 16 , 1913"
MAY 20,Wolverhampton - St. Peter's Institute,Wolverhampton - St . Peter's Institute - Mrs . Lang . fear . Miss Watson 3.30,,"['Mrs. Langfear', 'Miss Watson']",,"MAY 16 , 1913"
