Date,Location,Raw,Speakers,Issue date
"Friday, June 19",Battersea,"Battersea , IOA Stafford Mansions . Sheppard , Mrs F. E. Smith . Hostess","['Sheppard', 'Mrs F. E. Smith']","June 19 , 1914"
"Friday, June 19",Kentish Town,"Kentish Town , Leighton Road . Miss",[],"June 19 , 1914"
"Friday, June 19",Sloane Square,Sloane Square . Mrs Penn Gaskell,['Mrs Penn Gaskell'],"June 19 , 1914"
"Friday, June 19",West Ham,"West Ham , The Grove , Stratford . Miss",[],"June 19 , 1914"
"Saturday, June 20",Crouch End,"Crouch End , Clock Tower . Miss Guttridge",['Miss Guttridge'],"June 19 , 1914"
"Saturday, June 20",Dulwich Library,Dulwich Library . Miss Hopkins,['Miss Hopkins'],"June 19 , 1914"
"Saturday, June 20",Ilford,"Ilford , Balfour Road",[],"June 19 , 1914"
"Saturday, June 20",Kingston,"Kingston , Church Street . Miss Richmond",['Miss Richmond'],"June 19 , 1914"
"Saturday, June 20",Kingston,"Kingston , Coronation Stone . Miss Elsa",['Miss Elsa'],"June 19 , 1914"
"Saturday, June 20",Muswell Hill,"Muswell Hill , Queen's Avenue . Miss",[],"June 19 , 1914"
"Saturday, June 20",Sydenham,"Sydenham , Peak Hill . Miss Rose Barry",['Miss Rose Barry'],"June 19 , 1914"
"Saturday, June 20",West Ham,"West Ham , Forest Gate Station . Friedlaender",['Friedlaender'],"June 19 , 1914"
"Sunday, June 21",Hampstead Heath,"Hampstead Heath , Flagstaff . Mrs Pullen",['Mrs Pullen'],"June 19 , 1914"
"Sunday, June 21",Lewisham,"Lewisham , Market Place . Mrs Thomson",['Mrs Thomson'],"June 19 , 1914"
"Sunday, June 21",Streatham Common,Streatham Common . Miss Gilliatt,['Miss Gilliatt'],"June 19 , 1914"
"Sunday, June 21",Chelsea,"Chelsea , 308 King's Road . Women's",[],"June 19 , 1914"
"Monday, June 22",Knightsbridge Hall,"Knightsbridge Hall , W. The Lady Margesson . Chair : Miss Barbara Wylie","['The Lady Margesson', 'Miss Barbara Wylie']","June 19 , 1914"
"Tuesday, June 23",Chelsea,"Chelsea , Elgin Avenue",[],"June 19 , 1914"
"Tuesday, June 23",Woolwich,"Woolwich , Beresford Square . Miss Feek",['Miss Feek'],"June 19 , 1914"
"Wednesday, June 24",Chelsea,"Chelsea , World's End . Miss Haig",['Miss Haig'],"June 19 , 1914"
"Wednesday, June 24",Ilford,"Ilford , Manor Park , Earl of Essex . Miss and others",[],"June 19 , 1914"
"Thursday, June 25",Bayswater,"Bayswater , Elysee Galleries , Queen's Road , Mrs Mansel . Mrs F. E. Smith .","['Mrs Mansel', 'Mrs F. E. Smith']","June 19 , 1914"
"Thursday, June 25",Hampstead,"Hampstead , 37 Frognal . Garden Meeting. Hostess : Mrs Levy",[],"June 19 , 1914"
"Friday, June 26",Croydon,"Croydon , Katherine Street . Miss Rickards",['Miss Rickards'],"June 19 , 1914"
"Friday, June 26",Sloane Square,Sloane Square . Miss Naylor,['Miss Naylor'],"June 19 , 1914"
"Friday, June 26",West Ham,"West Ham , The Grove , Stratford . Miss Wingrove",['Miss Wingrove'],"June 19 , 1914"
"Friday, June 26",Wood Green,"Wood Green , Turnpike Lane and Green Lanes . Miss M. Wright .",['Miss M. Wright'],"June 19 , 1914"
"Friday, June 19",Edinburgh,"Edinburgh , West End . Miss Caroline Brown",['Miss Caroline Brown'],"June 19 , 1914"
"Friday, June 19",Cardiff,"Cardiff , 109 Queen Street .",[],"June 19 , 1914"
"Saturday, June 20",Edinburgh,"Edinburgh , The Mound . Miss Shaw",['Miss Shaw'],"June 19 , 1914"
"Saturday, June 20",Edinburgh,"Edinburgh , Leith Walk",[],"June 19 , 1914"
"Saturday, June 20",Edinburgh,"Edinburgh , Musselburgh",[],"June 19 , 1914"
"Saturday, June 20",Dublin,"Dublin , Phoenix Park ... Miss A. Williams .",['Miss A. Williams'],"June 19 , 1914"
"Sunday, June 21",Cardiff,"Cardiff , No. 5 Branch , Carpenters and Joiners",[],"June 19 , 1914"
"Monday, June 22",Dundee,"Dundee , Panmure Street . Miss Grant",['Miss Grant'],"June 19 , 1914"
