Date,Location,Raw,Speakers,Issue date
"Saturday , December 7",Harlesden,"Harlesden , Manor Park - road . Miss Bailey",['Miss Bailey'],"December 6 , 1912"
"Saturday , December 7",Ilford,"Ilford , Balfour - road . Miss Guttridge",['Miss Guttridge'],"December 6 , 1912"
"Saturday , December 7",Kilburn,"Kilburn , Messina - avenue . Miss P. Rickards , B.A.",['Miss P. Rickards'],"December 6 , 1912"
"Saturday , December 7",Kingston,"Kingston , Church - street . Miss Naylor . Chair : Mrs. Dacro Fox",['Miss Naylor'],"December 6 , 1912"
"Saturday , December 7",Palmer's Green,"Palmer's Green , Alderman's Hill . Miss Kelly . Chair : Miss H. Gargett",['Miss Kelly'],"December 6 , 1912"
"Saturday , December 7",Stratford,"Stratford , Maryland Point",[],"December 6 , 1912"
"Saturday , December 7",Streatham,"Streatham , Gleneldon - road",[],"December 6 , 1912"
"Saturday , December 7",Wimbledon,"Wimbledon , Broadway . Dr. L. Fairfield . Chair : Mrs. Huggett",['Dr. L. Fairfield'],"December 6 , 1912"
"Sunday , December 8",Hampstead Heath,"Hampstead Heath , Flagstaff . Miss Hicks , M.A.",['Miss Hicks'],"December 6 , 1912"
"Sunday , December 8",Hyde Park,"Hyde Park , near Marble Arch . M.P.U. Mr. E. Duval and others .",['Mr. E. Duval'],"December 6 , 1912"
"Sunday , December 8",Wimbledon Common,"Wimbledon Common . Miss Gilliatt , Mrs. Lamartine Yates .. 8 p.m.","['Miss Gilliatt', 'Mrs. Lamartine Yates']","December 6 , 1912"
"Monday , December 9",Kensal Rise,"Kensal Rise , Harvist - road . Miss Wilson ..",['Miss Wilson'],"December 6 , 1912"
"Monday , December 9",London Pavilion,"London Pavilion , Piccadi ly Circus , W. Mrs. Pankhurst , Mrs. Mansell - Moullin , Mr. Gerald Gauld","['Mrs. Pankhurst', 'Mrs. Mansell-Moullin', 'Mr. Gerald Gauld']","December 6 , 1912"
"Tuesday , December 10",Merton,"Merton , The Grove . Mrs. Dacre Fox . Chair : Mrs. Dickinson",['Mrs. Dacre Fox'],"December 6 , 1912"
"Tuesday , December 10",Stepney,"Stepney , 304 , Old Ford - road , E. Miss Bonwick , B.A.",['Miss Bonwick'],"December 6 , 1912"
"Wednesday , December 11",Ilford,"Ilford , Manor Park , Earl of Essex . Miss Haslam ..",['Miss Haslam'],"December 6 , 1912"
"Wednesday , December 11",Kilburn,"Kilburn , 310 , High - road , Lecture Hall , "" At Home . "" Dr. H. Hanson , Miss Franklin","['Dr. H. Hanson', 'Miss Franklin']","December 6 , 1912"
"Wednesday , December 11",Wimbledon,"Wimbledon , Lecture Hall , Lingfield - road . Dr. L. Fairfield , Mr. H. W. Nevinson . Chair : Mrs. Lamartine Yates ...","['Dr. L. Fairfield', 'Mr. H. W. Nevinson']","December 6 , 1912"
"Thursday , December 12",Camden-road,"Camden - road , 12 , Dalmeny - avenue . Miss Glidewell , Miss Darton . Hostess : Mrs. Parley","['Miss Glidewell', 'Miss Darton']","December 6 , 1912"
"Thursday , December 12",Kensal Rise,"Kensal Rise , Council School , Harvist - road . Willesden Parliament . Debate . Miss Hicks , M.A. , Miss Birrell","['Miss Hicks', 'Miss Birrell']","December 6 , 1912"
"Thursday , December 12",Sloane-square,Sloane - square . Mrs. Temple Bird ...,['Mrs. Temple Bird'],"December 6 , 1912"
"Thursday , December 12",Steinway Mall,"Steinway Mall , Lower Seymour Street , Portman Square , W. Miss Annie Kenney , Miss Evelyn Sharp , Mrs. Dacre Fox","['Miss Annie Kenney', 'Miss Evelyn Sharp', 'Mrs. Dacre Fox']","December 6 , 1912"
"Friday , December 13",Ilford,"Ilford , Broadway Chambers , Assembly Room . Chair : Mrs. Whitten",[],"December 6 , 1912"
"Friday , December 13",Mile End-road,"Mile End - road , Whitman - road , E. Miss Canning ..",['Miss Canning'],"December 6 , 1912"
"Saturday , December 7",Barrow,"Barrow , Schoolroom , Abbey - road . Mrs. Drummond",['Mrs. Drummond'],"December 6 , 1912"
"Saturday , December 7",Brighton,"Brighton , Seafront . Mrs. Mary Davist",['Mrs. Mary Davist'],"December 6 , 1912"
"Saturday , December 7",Edinburgh,"Edinburgh , St. David - street . Miss A. Scott . Chair : Miss Shaw",['Miss A. Scott'],"December 6 , 1912"
"Saturday , December 7",Edinburgh,"Edinburgh , Musselburgh . Miss M. Scott . Chair : Miss Brown",['Miss M. Scott'],"December 6 , 1912"
"Saturday , December 7",Ipswich,"Ipswich , St. Nicholas Hall , Mrs. Bartlett ..",['Mrs. Bartlett'],"December 6 , 1912"
"Saturday , December 7",Norwich,"Norwich , St. George's Plain . Mrs. Bartlett",['Mrs. Bartlett'],"December 6 , 1912"
"Saturday , December 7",Norwich,"Norwich , Stump Cross , Mrs. Bartlett",['Mrs. Bartlett'],"December 6 , 1912"
"Saturday , December 7",Truro,"Truro , Municipal Buildings . Mrs. Tremayne , Mrs. Pascoe , Mrs. Perks . Chair : Miss E. Williams","['Mrs. Tremayne', 'Mrs. Pascoe', 'Mrs. Perks']","December 6 , 1912"
"Sunday , December 8",Barrow,"Barrow , Hippodrome . Massi Meeting . Mrs. Drummond",['Mrs. Drummond'],"December 6 , 1912"
