Date,Location,Raw,Description,Speakers,Hosts,Issue date
SEPTEMBER 22,"North of England - St. Philip's Mission Hall, Salford","North of England - St . Philip's Mission Hall , Salford - Women's Meeting Miss Robertson .",Women's Meeting,['Miss Robertson'],,"SEPTEMBER 22 , 1910"
SEPTEMBER 22,North of England - South Salford,North of England - South Salford Suffrage Club Social .,Suffrage Club Social,,,"SEPTEMBER 22 , 1910"
SEPTEMBER 22,"North of England - East Manchester and District - Lecture Hall, United Methodist Church (opposite Tram Shed), Hyde Road, Ardwick","North of England - East Manchester and District - Lecture Hall , United Methodist Church ( opposite Tram Shed ) , Hyde Road , Ardwick - Mrs . F. T. Swan- wick , M.A. , Miss K. D. Courtney .",,"['Mrs. F. T. Swanwick, M.A.', 'Miss K. D. Courtney']",,"SEPTEMBER 22 , 1910"
SEPTEMBER 22,"London - Camberwell - Collyer Place, Peckham","London - Camberwell - Collyer Place , Peckham - Open - air Meeting -Miss Thomson , Miss Dawson .",Open-air Meeting,"['Miss Thomson', 'Miss Dawson']",,"SEPTEMBER 22 , 1910"
SEPTEMBER 22,Dublin,Dublin Irish W.S. and Local Government Association - Com- mittee Meeting .,Committee Meeting,,,"SEPTEMBER 22 , 1910"
SEPTEMBER 22,Wells Town Hall,Wells Town Hall - Miss Royden .,,['Miss Royden'],,"SEPTEMBER 22 , 1910"
SEPTEMBER 22,"Reigate The Green, S. Park","Reigate The Green , S. Park - Open - air Meeting Mrs. Stanbury .",Open-air Meeting,['Mrs. Stanbury'],,"SEPTEMBER 22 , 1910"
SEPTEMBER 22,Bermondsey - Galleywall Road - Young Women's Society of S. Bermondsey Mission,Bermondsey - Galleywall Road - Young Women's Society of S.- 8.30 Bermondsey Mission - Miss Margery Corbett .,,['Miss Margery Corbett'],,"SEPTEMBER 22 , 1910"
SEPTEMBER 22,Corbridge,"Corbridge Open - air Meeting - Miss C. M. Gordon , Miss Mein .",Open-air Meeting,"['Miss C. M. Gordon', 'Miss Mein']",,"SEPTEMBER 22 , 1910"
SEPTEMBER 23,"85, Deansgate Arcade","North of England - 85 , Deansgate Arcade - Special Meeting of Members .",Special Meeting of Members,,,"SEPTEMBER 22 , 1910"
SEPTEMBER 23,Coldstream - Berwickshire,"Coldstream - Berwickshire - Mrs . Henry Fawcett , LL.D. , Dr. Inglis , Sir Francis Blake ( Chairman ) .",,"['Mrs. Henry Fawcett, LL.D.', 'Dr. Inglis', 'Sir Francis Blake (Chairman)']",,"SEPTEMBER 22 , 1910"
SEPTEMBER 23,Hexham Market Place,"Hexham Market Place - Open - air Meeting - Miss C. M. Gordon , Miss Mein .",Open-air Meeting,"['Miss C. M. Gordon', 'Miss Mein']",,"SEPTEMBER 22 , 1910"
SEPTEMBER 24,"London Highgate - Tally Ho Corner, Finchley","London Highgate - Tally Ho Corner , Finchley - Open - air Meeting .",Open-air Meeting,,,"SEPTEMBER 22 , 1910"
SEPTEMBER 24,Woking - Duke Street,"Woking - Duke Street - Open - air Meeting - Mrs . Stanbury , Mr. Reginald H. Pott .",Open-air Meeting,"['Mrs. Stanbury', 'Mr. Reginald H. Pott']",,"SEPTEMBER 22 , 1910"
SEPTEMBER 25,North of England - Salford Suffrage Club,North of England - Salford Suffrage Club - Men Only .,Men Only,,,"SEPTEMBER 22 , 1910"
SEPTEMBER 26,London Highgate,London Highgate - Annual Meeting - Lantern Lecture - Miss Bertha Mason .,Annual Meeting - Lantern Lecture,['Miss Bertha Mason'],,"SEPTEMBER 22 , 1910"
SEPTEMBER 26,Leeds Lady Lane Schoolroom,Leeds Lady Lane Schoolroom - Women's Meeting - Miss Fielden .,Women's Meeting,['Miss Fielden'],,"SEPTEMBER 22 , 1910"
SEPTEMBER 26,Rothbury The Cross,"Rothbury The Cross - Open - air Meeting - Miss C. M. Gordon , Miss Mein .",Open-air Meeting,"['Miss C. M. Gordon', 'Miss Mein']",,"SEPTEMBER 22 , 1910"
SEPTEMBER 27,Haltwhistle - Mechanics' Hall,"Haltwhistle - Mechanics ' Hall - Rev . A. S. Campbell ( Chairman ) , Mrs. Fawcett .",,"['Rev. A. S. Campbell (Chairman)', 'Mrs. Fawcett']",,"SEPTEMBER 22 , 1910"
SEPTEMBER 28,Nottingham,"Nottingham - Monthly At Home and Opening of New Offices- Mrs. W. B. Thorpe ( hostess ) , Miss Le Clere Phillips . Tea .",Monthly At Home and Opening of New Offices. Tea,['Miss Le Clere Phillips'],['Mrs. W. B. Thorpe'],"SEPTEMBER 22 , 1910"
SEPTEMBER 28,London - Ealing,"London - Ealing - Open - air Meetings - Miss C. Corbett , Mrs. Buddings .",Open-air Meetings,"['Miss C. Corbett', 'Mrs. Buddings']",,"SEPTEMBER 22 , 1910"
SEPTEMBER 28,Rothbury Jubilee Hall,"Rothbury Jubilee Hall - Miss Mein ( Chairman ) , Mrs. Fawcett .",,"['Miss Mein (Chairman)', 'Mrs. Fawcett']",,"SEPTEMBER 22 , 1910"
SEPTEMBER 29,"London Camberwell - Collyer Place, Peckham","London Camberwell - Collyer Place , Peckham - Mrs . Stanbury , Mrs. Bowden Smith ( Chairman ) .",,"['Mrs. Stanbury', 'Mrs. Bowden Smith (Chairman)']",,"SEPTEMBER 22 , 1910"
SEPTEMBER 29,Hexham Town Hall,"Hexham Town Hall - J . T. Dunn , Esq . , D.Sc. ( Chairman ) , Mrs. Fawcett .",,"['J. T. Dunn, Esq., D.Sc. (Chairman)', 'Mrs. Fawcett']",,"SEPTEMBER 22 , 1910"
SEPTEMBER 30,Dublin,"Dublin Irish W.S. and Local Government Association - Miss M. B. Todd on "" The Duties of Servants and Mistresses . """,,['Miss M. B. Todd'],,"SEPTEMBER 22 , 1910"
SEPTEMBER 30,"New Forest - St. Catherine's, Barton-on-Sea","New Forest - St . Catherine's , Barton - on - Sea - Drawing - room Meet- ing Miss Duncan .",Drawing-room Meeting,['Miss Duncan'],,"SEPTEMBER 22 , 1910"
SEPTEMBER 30,Stocksfield - The Red House,"Stocksfield - The Red House - Mrs . Adams ( Hostess ) , Mrs. Fawcett .",,['Mrs. Fawcett'],['Mrs. Adams'],"SEPTEMBER 22 , 1910"
OCTOBER 1,"London Highgate High Road, Finchley East","London Highgate High Road , Finchley Open - air East Meeting .",Open-air Meeting,,,"SEPTEMBER 22 , 1910"
OCTOBER 2,"Leeds Adult School, Mill Hill","Leeds Adult School , Mill Hill - Debate - Miss Fielden .",Debate,['Miss Fielden'],,"SEPTEMBER 22 , 1910"
