Date,Location,Raw,Speakers,Description,Issue date
JANUARY 30,"London. East St. Pancras - 51, Gordon Square","JANUARY 30 . London . East St. Pancras - 51 , Gordon Square - Hostess , Mrs. Herbert Rendel - Speaker , Mrs. Ford Smith -Chair , Miss Lidgett , P.L.G.","['Mrs. Ford Smith', 'Miss Lidgett, P.L.G.']",,"JANUARY 30 , 1914"
JANUARY 30,Islington Barnsbury Hall Upper Street,Islington Barnsbury Hall Upper Street - Suffrage Club Meeting 8.30,,Suffrage Club Meeting,"JANUARY 30 , 1914"
FEBRUARY 2,Hoxton Pitfield Street,"FEBRUARY 2 . Hoxton Pitfield Street - Meeting of the Women's Liberal Association - Speaker , Miss Rinder",,Meeting of the Women's Liberal Association,"JANUARY 30 , 1914"
FEBRUARY 3,"Battersea - 146, Lavender Hill","FEBRUARY 3 . Battersea - 146 , Lavender Hill - Drawing - room Meeting Hostess , Mrs. McDade - Speaker , Mrs. Ford Smith -- Chair , Mrs. Worthey - Duologue , Mrs. Hunt and Mrs. Rawlings","['Mrs. Ford Smith', 'Mrs. Worthey', 'Mrs. Hunt', 'Mrs. Rawlings', 'Mrs. McDade (Hostess)']",,"JANUARY 30 , 1914"
FEBRUARY 3,Brixton - 206. Brixton Road,"Brixton - 206 . Brixton Road - Meeting of the Brixton Ladies ' Conservative and Unionist Council - Speaker , Miss Rosamond Smith",,Meeting of the Brixton Ladies ' Conservative and Unionist Council,"JANUARY 30 , 1914"
FEBRUARY 3,"Hampstead - 19, Lyndhurst Road","Hampstead - 19 , Lyndhurst Road - Drawing- room Meeting - Hostess , Mrs. Singer - Speaker , Mrs. Stanbury - Chair , Mrs. Ronald Garrett","['Mrs. Stanbury', 'Mrs. Ronald Garrett', 'Mrs. Singer (Hostess)']",,"JANUARY 30 , 1914"
FEBRUARY 3,"New Malden ""Kilmorie""","New Malden "" Kilmorie "" Drawing - room Meeting Hostess , Mrs. Porter - Speaker , Mrs. Corbett Ashby - Chair , Mrs. Wilkinson","['Mrs. Corbett Ashby', 'Mrs. Wilkinson', 'Mrs. Porter (Hostess)']",,"JANUARY 30 , 1914"
FEBRUARY 4,Chiswick Girls' Club,FEBRUARY 4 . Chiswick Girls ' Club Social Evening for,,Social Evening,"JANUARY 30 , 1914"
FEBRUARY 4,Ealing -- Warwick Road,"Ealing -- Warwick Road - Drawing - room Meet- ing - Hostess , Mrs. Nindward - Speaker , Mrs. Ronald Garrett - Chair , Miss Buck","['Mrs. Ronald Garrett', 'Miss Buck', 'Mrs. Nindward (Hostess)']",,"JANUARY 30 , 1914"
FEBRUARY 4,"Herne Hill - 36, Elfindale Road","Herne Hill - 36 , Elfindale Road - Women Suffrage Tea- Hostesses , the Misses Sinclare - Speaker , Miss M. Hamilton","['Miss M. Hamilton', 'Misses Sinclare (Hostesses)']",,"JANUARY 30 , 1914"
FEBRUARY 4,"Lewisham - 71, Lewisham Park","Lewisham - 71 , Lewisham Park - Drawing - room Meeting - Hostess , Mrs. P. W. Ames - Speaker , Mrs. Rawlings on "" The Child and the State ""","['Mrs. Rawlings', 'Mrs. P.W. Ames (Hostess)']",,"JANUARY 30 , 1914"
