Date,Location,Raw,Speakers,Description,Issue date
"FRI., APRIL 25",Battersea,"FRI., APRIL 25. - Battersea, Prince's Head. Mr. King",['Mr. King'],,"April 25 , 1913"
"FRI., APRIL 25",Chelsea,"Chelsea, 308, King's - road. Miss E. Sharp",['Miss E. Sharp'],,"April 25 , 1913"
"FRI., APRIL 25",Chelsea,"Chelsea, 308, King's - road.",,Speakers' Class.,"April 25 , 1913"
"FRI., APRIL 25",Kensington,"Kensington, High - street (outside). Miss Medwin. Chair: Miss Macpherson","['Miss Medwin', 'Miss Macpherson']",,"April 25 , 1913"
"FRI., APRIL 25","Lincoln's Inn House, Kingsway","Lincoln's Inn House, Kingsway Mr. W. Willox",['Mr. W. Willox'],,"April 25 , 1913"
"FRI., APRIL 25",North Kensington,"North Kensington, Lancaster - road Baths, Lancaster - road. Miss Rushbrooke",['Miss Rushbrooke'],,"April 25 , 1913"
"FRI., APRIL 25",Shepherd's Bush,"Shepherd's Bush. M.P.U. Mr. Charles Gray, Miss Rogers","['Mr. Charles Gray', 'Miss Rogers']",,"April 25 , 1913"
"FRI., APRIL 25",Sloane - square,Sloane - square. Miss Macaulay,['Miss Macaulay'],,"April 25 , 1913"
"FRI., APRIL 25",Stepney Green Triangle,Stepney Green Triangle. Miss Harvey,['Miss Harvey'],,"April 25 , 1913"
"FRI., APRIL 25","West Ham, Forest Gate","West Ham, Forest Gate Miss Harbott",['Miss Harbott'],,"April 25 , 1913"
"FRI., APRIL 25","West Ham, Stratford","West Ham, Stratford Miss E. Brice",['Miss E. Brice'],,"April 25 , 1913"
"FRI., APRIL 25",Dundee,"Dundee, Panmure - street Miss Annie Williams",['Miss Annie Williams'],,"April 25 , 1913"
"FRI., APRIL 25",Kingston,"Kingston, 54, Clarence - street Mrs. Beatty",['Mrs. Beatty'],,"April 25 , 1913"
"FRI., APRIL 25",Edinburgh,"Edinburgh, West End. Miss E. Macdonald",['Miss E. Macdonald'],,"April 25 , 1913"
"FRI., APRIL 25",Edinburgh,"Edinburgh, St. David - street. Miss Lambie",['Miss Lambie'],,"April 25 , 1913"
