Date,Location,Raw,Speakers,Description,Issue date
"Friday , May 8","Acton, Market Place , Horn Lane","Acton , Market Place , Horn Lane . Mies D. Coombs , Mr. Tom Norris","['Mies D. Coombs', 'Mr. Tom Norris']",,"May 8 , 1914"
"Friday , May 8","Chelsea , 309 , King's Road","Chelsea , 309 , King's Road . Speakers ' Class . Miss Ada Moore",['Miss Ada Moore'],Speakers ' Class,"May 8 , 1914"
"Friday , May 8","Chiswick , Duke Road","Chiswick , Duke Road . Mrs. Thomson",['Mrs. Thomson'],,"May 8 , 1914"
"Friday , May 8","Croydon , Public Hall","Croydon , Public Hall . H.H. The Princess Sophia Duleep Singh",['H.H. The Princess Sophia Duleep Singh'],,"May 8 , 1914"
"Friday , May 8","Fulham , Munster Road","Fulham , Munster Road . Miss M. Wright",['Miss M. Wright'],,"May 8 , 1914"
"Friday , May 8",Golders Green Road,Golders Green Road,,,"May 8 , 1914"
"Friday , May 8","Kentish Town , Leighton Road","Kentish Town , Leighton Road . Miss Hopkins , Miss Freeman","['Miss Hopkins', 'Miss Freeman']",,"May 8 , 1914"
"Friday , May 8","Lincoln's Inn House , Kingsway","Lincoln's Inn House , Kingsway . Speakers Class . Miss Rosa Leo",['Miss Rosa Leo'],Speakers Class,"May 8 , 1914"
"Friday , May 8","North Kensington , Lancaster Baths , Lancaster Road","North Kensington , Lancaster Baths , Lancaster Road . Miss Rickards , B.A. Chair : Miss T. Margessen","['Miss Rickards, B.A.']",,"May 8 , 1914"
"Friday , May 8",Sloane Square,"Sloane Square . Mrs. Temple Bird , Miss F. Haig","['Mrs. Temple Bird', 'Miss F. Haig']",,"May 8 , 1914"
"Friday , May 8","Walthamstow , Tower Corner , Hoe Street","Walthamstow , Tower Corner , Hoe Street . Miss Richmond .. Chair : Mrs. Gladman",['Miss Richmond'],,"May 8 , 1914"
"Friday , May 8","West Ham , The Grove , Stratford","West Ham , The Grove , Stratford . Miss Medwin , Miss Dr. Francis Ede","['Miss Medwin', 'Dr. Francis Ede']",,"May 8 , 1914"
"Friday , May 8","Wimbledon , Queen's Hall , Broadway","Wimbledon , Queen's Hall , Broadway . Chair : Mrs. McRae",,,"May 8 , 1914"
"Saturday , May 9","Battersea , Strath Terrace","Battersea , Strath Terrace . Miss E. Carmen",['Miss E. Carmen'],,"May 8 , 1914"
"Saturday , May 9","Crouch End , Clock Tower","Crouch End , Clock Tower . Miss Margaret Wright",['Miss Margaret Wright'],,"May 8 , 1914"
"Saturday , May 9","Holloway Road , corner Jones Bros","Holloway Road , corner Jones Bros",,,"May 8 , 1914"
"Saturday , May 9","Ilford , Balfour Road","Ilford , Balfour Road . Miss Canning",['Miss Canning'],,"May 8 , 1914"
"Saturday , May 9","Kingston , Coronation Stone","Kingston , Coronation Stone . Mrs. McKenzie",['Mrs. McKenzie'],,"May 8 , 1914"
"Saturday , May 9","Muswell Hill , Queen's Avenue","Muswell Hill , Queen's Avenue . Miss Richmond",['Miss Richmond'],,"May 8 , 1914"
"Saturday , May 9","Pinner , Fire Station","Pinner , Fire Station . Miss Emma Wylie-",['Miss Emma Wylie-'],,"May 8 , 1914"
"Saturday , May 9","Palmers Green , Alderman's Hill","Palmers Green , Alderman's Hill . Chair : Miss P. Lynch",,,"May 8 , 1914"
"Saturday , May 9",Tooting Broadway,Tooting Broadway . Miss Townsend,['Miss Townsend'],,"May 8 , 1914"
"Saturday , May 9","Kilburn , Victoria Road","Kilburn , Victoria Road . Mrs. Davies , Miss Wilson","['Mrs. Davies', 'Miss Wilson']",,"May 8 , 1914"
"Saturday , May 9","Kingston , Church Street","Kingston , Church Street Miss Nancy Lightman",['Miss Nancy Lightman'],,"May 8 , 1914"
"Saturday , May 9","South Wimbledon , Broadway","South Wimbledon , Broadway . Miss Gwen Richard",['Miss Gwen Richard'],,"May 8 , 1914"
"Saturday , May 9","Wandsworth , outside Council House","Wandsworth , outside Council House . Mrs. Tlireader Chapman",['Mrs. Tlireader Chapman'],,"May 8 , 1914"
