Date,Location,Raw,Description,Speakers,Hosts,Issue date
APRIL 13,"Dublin - 35, Molesworth Street","Dublin - 35 , Molesworth Street - Irish W.S. and Local Govern- ment Association - Committee Meeting .",Committee Meeting,[],,"APRIL 13 , 1911"
APRIL 13,Birmingham - Gosta Green,Birmingham - Gosta Green - Open - air Meeting .,Open-air Meeting,[],,"APRIL 13 , 1911"
APRIL 15,"Birmingham Park Gates, Small Heath","Birmingham Park Gates , Small Heath - Open - air Meeting- Mrs. Robinson .",Open-air Meeting,['Mrs. Robinson'],,"APRIL 13 , 1911"
APRIL 15,Stourbridge - Labour Hall,"Stourbridge - Labour Hall- "" The Women's Bill V. Adult Suffrage "" Mrs. Robinson .","""The Women's Bill V. Adult Suffrage""",['Mrs. Robinson'],,"APRIL 13 , 1911"
APRIL 16,Birmingham - Bull Ring,"Birmingham - Bull Ring - Demonstration - G . Lansbury , Esq . , M.P. , Mrs. Annot Robinson , and others .",Demonstration,"['G. Lansbury, Esq., M.P.', 'Mrs. Annot Robinson', 'others']",,"APRIL 13 , 1911"
APRIL 19,Bournemouth - St. Peter's Hall,Bournemouth - St . Peter's Hall - Miss Abadam .,,['Miss Abadam'],,"APRIL 13 , 1911"
APRIL 19,Bishopsworth - Parish Schoolroom,"Bishopsworth - Parish Schoolroom- "" How the Vote was Won . ""","""How the Vote was Won""",[],,"APRIL 13 , 1911"
APRIL 20,Camberley Oddfellows' Hall,Camberley Oddfellows ' Hall - Annual Meeting - Miss Nina Boyle .,Annual Meeting,['Miss Nina Boyle'],,"APRIL 13 , 1911"
APRIL 24,Sevenoaks - Kippington Parish Room,Sevenoaks - Kippington Parish Room - Mrs . Rackham .,,['Mrs. Rackham'],,"APRIL 13 , 1911"
APRIL 24,"Leeds - Congregational Church, Oak Road","Leeds - Congregational Church , Oak Road - Mrs . Parrish .",,['Mrs. Parrish'],,"APRIL 13 , 1911"
APRIL 26,Liscard - Concert Hall,"Liscard - Concert Hall - Mrs . Fawcett , Mrs. Allan Bright ( chair ) .",,"['Mrs. Fawcett', 'Mrs. Allan Bright (chair)']",,"APRIL 13 , 1911"
APRIL 26,Baldock - Town Hall,"Baldock - Town Hall - Miss A. M. Royden , Rev. H. Cubbon , M.A.",,"['Miss A. M. Royden', 'Rev. H. Cubbon, M.A.']",,"APRIL 13 , 1911"
APRIL 26,"Bristol - 9, Beaufort Road, Clifton","Bristol - 9 , Beaufort Road , Clifton - Mrs . Cross ' Working Party .",Working Party,[],,"APRIL 13 , 1911"
APRIL 27,"Oldham Music Room, Werneth Park","Oldham Music Room , Werneth Park - Social for members and friends .",Social for members and friends,[],,"APRIL 13 , 1911"
APRIL 27,"Leeds - Co-operative Guild, Burley","Leeds - Co - operative Guild , Burley - Mrs . Parrish .",,['Mrs. Parrish'],,"APRIL 13 , 1911"
April 19,"Kingston, Market Place","Kingston , Market Place , Open - air Meeting , Speakers from Men's League .",Open-air Meeting,"[""Speakers from Men's League""]",,"APRIL 13 , 1911"
April 21,"North Lambeth, 28a, Wincott Street, S.E.","North Lambeth , 28a , Wincott Street , S.E. , Debate , Miss Emily Hill v . Mr. Samuels ( A.-S.L. ) .","Debate, Miss Emily Hill v. Mr. Samuels (A.-S.L.)",[],,"APRIL 13 , 1911"
April 21,"Edmonton, Baptist Schoolroom","Edmonton , Baptist Schoolroom .",,[],,"APRIL 13 , 1911"
April 22,"Norwood, Suffrage Offices","Norwood , Suffrage Offices , Miss Eunice Murray , Miss Abadam .",,"['Miss Eunice Murray', 'Miss Abadam']",,"APRIL 13 , 1911"
April 24,"Windsor, Reception Room, Guildhall","Windsor , Reception Room , Guildhall , "" At Home , "" Miss A. H. Ward .","""At Home""",[],,"APRIL 13 , 1911"
April 26,"Hampstead, The Library, Prince Arthur Road","Hampstead , The Library , Prince Arthur Road , Debate , Mr. Cholmeley v . Mr. G. Calderon . Chairman , J. S. Fletcher , Esq . , M.P.","Debate, Mr. Cholmeley v. Mr. G. Calderon. Chairman, J.S. Fletcher, Esq., M.P.",[],,"APRIL 13 , 1911"
April 26,"Kingston, Market Place","Kingston , Market Place , Open - air Meeting , Speakers from Men's League .",Open-air Meeting,"[""Speakers from Men's League""]",,"APRIL 13 , 1911"
April 27,"Lambeth, Moffat Institute","Lambeth , Moffat Institute , Miss J. H. Thomson , B.A.",,"['Miss J. H. Thomson, B.A.']",,"APRIL 13 , 1911"
